timestamp;[Outdoor temperature][°C][40004];
2025-09-18T22:03:01+00:00;13.6;
2025-09-18T23:27:35+00:00;13.1;
2025-09-19T00:04:18+00:00;13.6;
2025-09-19T00:34:03+00:00;13.1;
2025-09-19T03:13:02+00:00;12.6;
2025-09-19T04:22:58+00:00;12.1;
2025-09-19T06:17:43+00:00;12.6;
2025-09-19T06:52:43+00:00;13.1;
2025-09-19T07:13:31+00:00;13.6;
2025-09-19T07:34:43+00:00;14.1;
2025-09-19T07:50:30+00:00;14.6;
2025-09-19T08:37:56+00:00;15.1;
2025-09-19T09:02:42+00:00;15.6;
2025-09-19T09:39:10+00:00;16.1;
Fri Sep 19 2025 11:45:39 GMT+0200 (Central European Summer Time);16.1;
