timestamp;[Supply line (BT2)][°C][40008];
2025-10-31T23:01:15+00:00;29.2;
2025-10-31T23:04:32+00:00;28.7;
2025-10-31T23:06:01+00:00;28.2;
2025-10-31T23:19:50+00:00;26.7;
2025-10-31T23:31:30+00:00;25.7;
2025-10-31T23:38:36+00:00;25.2;
2025-10-31T23:55:12+00:00;24.2;
2025-11-01T00:27:40+00:00;23.2;
2025-11-01T00:54:31+00:00;22.7;
2025-11-01T01:25:58+00:00;25.7;
2025-11-01T01:28:22+00:00;26.7;
2025-11-01T01:31:37+00:00;27.7;
2025-11-01T01:35:09+00:00;28.7;
2025-11-01T01:37:01+00:00;29.2;
2025-11-01T01:43:25+00:00;30.7;
2025-11-01T01:48:21+00:00;31.7;
2025-11-01T01:55:06+00:00;32.7;
2025-11-01T01:57:51+00:00;32.2;
2025-11-01T02:08:47+00:00;33.2;
2025-11-01T02:33:29+00:00;32.7;
2025-11-01T02:40:32+00:00;31.7;
2025-11-01T03:26:27+00:00;30.2;
2025-11-01T03:59:33+00:00;30.2;
2025-11-01T04:04:45+00:00;30.2;
2025-11-01T04:04:46+00:00;51.4;
2025-11-01T04:07:12+00:00;52.9;
2025-11-01T04:11:45+00:00;53.9;
2025-11-01T04:16:20+00:00;55.4;
2025-11-01T04:20:49+00:00;28.9;
2025-11-01T04:28:33+00:00;29.4;
2025-11-01T04:39:31+00:00;30.4;
2025-11-01T05:05:41+00:00;31.4;
2025-11-01T05:15:38+00:00;32.4;
2025-11-01T05:22:26+00:00;32.9;
2025-11-01T06:08:58+00:00;31.9;
2025-11-01T06:21:00+00:00;30.9;
2025-11-01T06:54:31+00:00;29.9;
2025-11-01T07:36:29+00:00;29.9;
2025-11-01T07:36:30+00:00;43.7;
2025-11-01T07:42:27+00:00;43.7;
2025-11-01T07:42:28+00:00;52.7;
2025-11-01T07:45:23+00:00;53.7;
2025-11-01T07:51:39+00:00;55.2;
2025-11-01T07:55:24+00:00;26.7;
2025-11-01T08:03:38+00:00;25.7;
2025-11-01T08:10:28+00:00;25.2;
2025-11-01T08:41:03+00:00;23.7;
2025-11-01T09:02:02+00:00;23.2;
2025-11-01T09:31:57+00:00;23.2;
