timestamp;[Current com­pressor fre­quency][Hz][41778];
2025-11-01T01:22:14+00:00;50;
2025-11-01T01:26:38+00:00;52;
2025-11-01T01:28:38+00:00;54;
2025-11-01T01:30:38+00:00;56;
2025-11-01T01:32:38+00:00;57;
2025-11-01T01:34:38+00:00;59;
2025-11-01T01:38:37+00:00;61;
2025-11-01T01:40:37+00:00;62;
2025-11-01T01:43:38+00:00;63;
2025-11-01T01:54:58+00:00;61;
2025-11-01T01:59:58+00:00;60;
2025-11-01T02:01:59+00:00;58;
2025-11-01T02:02:59+00:00;57;
2025-11-01T02:05:59+00:00;56;
2025-11-01T02:07:49+00:00;54;
2025-11-01T02:09:59+00:00;53;
2025-11-01T02:11:59+00:00;50;
2025-11-01T02:14:08+00:00;48;
2025-11-01T02:14:59+00:00;47;
2025-11-01T02:16:59+00:00;46;
2025-11-01T02:19:59+00:00;42;
2025-11-01T02:22:59+00:00;39;
2025-11-01T02:23:59+00:00;39;
2025-11-01T02:24:59+00:00;37;
2025-11-01T02:26:59+00:00;35;
2025-11-01T02:28:58+00:00;34;
2025-11-01T02:31:58+00:00;31;
2025-11-01T02:33:58+00:00;30;
2025-11-01T02:35:58+00:00;27;
2025-11-01T02:38:58+00:00;25;
2025-11-01T02:39:58+00:00;24;
2025-11-01T02:41:59+00:00;23;
2025-11-01T02:45:58+00:00;21;
2025-11-01T02:48:58+00:00;20;
2025-11-01T03:55:39+00:00;20;
2025-11-01T03:55:40+00:00;22;
2025-11-01T04:00:46+00:00;22;
2025-11-01T04:00:47+00:00;91;
2025-11-01T04:12:50+00:00;84;
2025-11-01T04:19:03+00:00;22;
2025-11-01T04:23:41+00:00;23;
2025-11-01T04:27:40+00:00;25;
2025-11-01T04:30:41+00:00;26;
2025-11-01T04:34:40+00:00;28;
2025-11-01T04:35:40+00:00;29;
2025-11-01T04:39:40+00:00;31;
2025-11-01T04:41:40+00:00;32;
2025-11-01T04:46:40+00:00;34;
2025-11-01T04:48:40+00:00;35;
2025-11-01T04:53:01+00:00;37;
2025-11-01T04:57:01+00:00;39;
2025-11-01T04:59:01+00:00;40;
2025-11-01T05:00:01+00:00;41;
2025-11-01T05:04:02+00:00;43;
2025-11-01T05:09:02+00:00;45;
2025-11-01T05:15:46+00:00;46;
2025-11-01T05:17:01+00:00;45;
2025-11-01T05:24:01+00:00;43;
2025-11-01T05:27:01+00:00;42;
2025-11-01T05:33:01+00:00;39;
2025-11-01T05:35:01+00:00;39;
2025-11-01T05:40:01+00:00;36;
2025-11-01T05:44:01+00:00;35;
2025-11-01T05:50:25+00:00;33;
2025-11-01T05:52:23+00:00;32;
2025-11-01T05:57:21+00:00;31;
2025-11-01T05:58:22+00:00;31;
2025-11-01T06:03:23+00:00;28;
2025-11-01T06:06:23+00:00;27;
2025-11-01T06:08:23+00:00;27;
2025-11-01T06:12:22+00:00;25;
2025-11-01T06:15:24+00:00;24;
2025-11-01T06:18:22+00:00;22;
2025-11-01T06:21:22+00:00;20;
2025-11-01T07:35:16+00:00;20;
2025-11-01T07:35:17+00:00;90;
2025-11-01T07:53:22+00:00;0;
2025-11-01T09:25:10+00:00;0;
2025-11-01T09:25:11+00:00;90;
2025-11-01T09:47:48+00:00;80;
2025-11-01T11:37:08+00:00;0;
2025-11-01T14:00:57+00:00;0;
2025-11-01T14:00:58+00:00;90;
2025-11-01T14:17:37+00:00;85;
2025-11-01T14:23:39+00:00;79;
2025-11-01T14:24:38+00:00;0;
2025-11-01T17:55:20+00:00;0;
2025-11-01T17:55:21+00:00;85;
2025-11-01T17:58:57+00:00;20;
2025-11-01T18:46:07+00:00;20;
2025-11-01T18:46:08+00:00;85;
2025-11-01T19:14:55+00:00;0;
2025-11-01T20:29:01+00:00;0;
2025-11-01T20:29:02+00:00;20;
2025-11-01T20:45:35+00:00;21;
2025-11-01T20:47:34+00:00;23;
2025-11-01T20:52:34+00:00;26;
2025-11-01T20:53:35+00:00;27;
2025-11-01T20:55:34+00:00;28;
2025-11-01T21:04:35+00:00;30;
2025-11-01T21:17:36+00:00;28;
2025-11-01T21:23:35+00:00;26;
2025-11-01T21:25:35+00:00;25;
2025-11-01T21:27:36+00:00;24;
2025-11-01T21:31:36+00:00;22;
2025-11-01T21:34:36+00:00;20;
2025-11-02T02:00:36+00:00;20;
2025-11-02T02:00:37+00:00;90;
2025-11-02T02:12:06+00:00;86;
2025-11-02T02:16:06+00:00;80;
2025-11-02T02:20:48+00:00;0;
2025-11-02T03:30:38+00:00;0;
2025-11-02T03:30:39+00:00;21;
2025-11-02T03:32:39+00:00;22;
2025-11-02T03:34:39+00:00;24;
2025-11-02T03:36:40+00:00;26;
2025-11-02T03:38:39+00:00;27;
2025-11-02T03:41:39+00:00;29;
2025-11-02T03:44:01+00:00;30;
2025-11-02T03:49:00+00:00;32;
2025-11-02T03:51:01+00:00;33;
2025-11-02T04:00:00+00:00;35;
2025-11-02T04:07:02+00:00;34;
2025-11-02T04:17:02+00:00;32;
2025-11-02T04:21:02+00:00;31;
2025-11-02T04:23:01+00:00;29;
2025-11-02T04:25:02+00:00;28;
2025-11-02T04:29:01+00:00;26;
2025-11-02T04:31:01+00:00;25;
2025-11-02T04:34:01+00:00;24;
2025-11-02T04:38:01+00:00;22;
2025-11-02T04:40:01+00:00;20;
2025-11-02T09:15:33+00:00;20;
2025-11-02T10:14:27+00:00;20;
2025-11-02T10:14:28+00:00;65;
2025-11-02T10:33:00+00:00;0;
2025-11-02T10:38:07+00:00;0;
2025-11-02T10:38:08+00:00;65;
2025-11-02T11:50:27+00:00;0;
2025-11-02T14:00:27+00:00;0;
2025-11-02T14:00:28+00:00;40;
2025-11-02T14:01:02+00:00;90;
2025-11-02T14:21:30+00:00;80;
2025-11-02T14:29:33+00:00;70;
2025-11-02T14:31:25+00:00;0;
2025-11-02T17:16:07+00:00;0;
2025-11-02T17:16:08+00:00;90;
2025-11-02T17:30:39+00:00;85;
2025-11-02T17:43:14+00:00;0;
2025-11-02T17:54:38+00:00;0;
2025-11-02T17:54:39+00:00;90;
2025-11-02T18:27:22+00:00;79;
2025-11-02T18:33:53+00:00;0;
2025-11-02T22:14:04+00:00;0;
2025-11-02T22:14:05+00:00;20;
2025-11-02T22:31:36+00:00;22;
2025-11-02T22:35:36+00:00;24;
2025-11-02T22:39:36+00:00;26;
2025-11-02T22:41:36+00:00;27;
2025-11-02T22:43:36+00:00;28;
2025-11-02T22:47:37+00:00;30;
2025-11-02T22:52:36+00:00;32;
2025-11-02T22:55:36+00:00;33;
2025-11-02T22:59:36+00:00;34;
2025-11-02T23:10:37+00:00;33;
2025-11-02T23:14:37+00:00;31;
2025-11-02T23:16:37+00:00;29;
2025-11-02T23:21:38+00:00;27;
2025-11-02T23:23:37+00:00;26;
2025-11-02T23:28:01+00:00;24;
2025-11-02T23:30:57+00:00;24;
2025-11-02T23:34:26+00:00;21;
2025-11-02T23:35:57+00:00;20;
2025-11-03T01:37:37+00:00;20;
2025-11-03T01:37:38+00:00;22;
2025-11-03T01:39:38+00:00;23;
2025-11-03T01:43:38+00:00;25;
2025-11-03T01:49:38+00:00;27;
2025-11-03T01:53:38+00:00;28;
2025-11-03T02:01:39+00:00;30;
2025-11-03T02:06:39+00:00;32;
2025-11-03T02:16:39+00:00;33;
2025-11-03T02:19:39+00:00;34;
2025-11-03T02:22:40+00:00;35;
2025-11-03T02:30:00+00:00;37;
2025-11-03T02:40:26+00:00;39;
2025-11-03T02:42:59+00:00;39;
2025-11-03T03:01:00+00:00;37;
2025-11-03T03:05:00+00:00;36;
2025-11-03T03:13:01+00:00;34;
2025-11-03T03:18:00+00:00;32;
2025-11-03T03:20:01+00:00;31;
2025-11-03T03:24:00+00:00;29;
2025-11-03T03:26:00+00:00;29;
2025-11-03T03:30:22+00:00;26;
2025-11-03T03:32:21+00:00;26;
2025-11-03T03:37:22+00:00;23;
2025-11-03T03:40:22+00:00;22;
2025-11-03T03:47:21+00:00;20;
2025-11-03T04:00:39+00:00;20;
2025-11-03T04:00:40+00:00;90;
2025-11-03T04:17:01+00:00;80;
2025-11-03T04:19:40+00:00;21;
2025-11-03T05:29:04+00:00;0;
2025-11-03T12:12:30+00:00;0;
2025-11-03T12:12:31+00:00;65;
2025-11-03T14:00:31+00:00;40;
2025-11-03T14:01:00+00:00;90;
2025-11-03T14:18:08+00:00;80;
2025-11-03T14:23:39+00:00;0;
2025-11-03T16:34:09+00:00;0;
2025-11-03T16:34:10+00:00;90;
2025-11-03T17:03:51+00:00;80;
2025-11-03T17:08:37+00:00;20;
2025-11-03T18:36:20+00:00;20;
2025-11-03T18:40:27+00:00;20;
2025-11-03T18:40:28+00:00;90;
2025-11-03T19:05:30+00:00;79;
2025-11-03T19:08:18+00:00;36;
2025-11-03T19:08:34+00:00;20;
2025-11-03T19:51:55+00:00;20;
2025-11-03T21:43:39+00:00;0;
2025-11-03T22:46:58+00:00;0;
2025-11-03T22:46:59+00:00;22;
2025-11-03T22:49:58+00:00;24;
2025-11-03T22:51:58+00:00;26;
2025-11-03T22:52:58+00:00;27;
2025-11-03T22:55:58+00:00;30;
2025-11-03T22:56:58+00:00;31;
2025-11-03T22:58:58+00:00;33;
2025-11-03T23:01:01+00:00;36;
2025-11-03T23:08:59+00:00;33;
2025-11-03T23:12:58+00:00;30;
2025-11-03T23:16:58+00:00;27;
2025-11-03T23:18:58+00:00;26;
2025-11-03T23:21:19+00:00;25;
2025-11-03T23:22:19+00:00;24;
2025-11-03T23:26:19+00:00;20;
2025-11-04T01:22:02+00:00;0;
2025-11-04T02:07:51+00:00;0;
2025-11-04T02:07:52+00:00;20;
2025-11-04T02:24:22+00:00;22;
2025-11-04T02:27:22+00:00;24;
2025-11-04T02:29:45+00:00;26;
2025-11-04T02:32:22+00:00;28;
2025-11-04T02:34:22+00:00;29;
2025-11-04T02:40:21+00:00;31;
2025-11-04T02:44:21+00:00;33;
2025-11-04T02:47:21+00:00;34;
2025-11-04T02:51:21+00:00;36;
2025-11-04T02:54:21+00:00;37;
2025-11-04T03:02:22+00:00;39;
