timestamp;[Number of compressor starts][][43416];
2025-11-01T01:21:56+00:00;5844;
2025-11-01T09:24:34+00:00;5845;
2025-11-01T14:00:21+00:00;5846;
2025-11-01T17:40:22+00:00;5847;
2025-11-01T20:28:32+00:00;5848;
2025-11-02T03:26:58+00:00;5849;
2025-11-02T09:15:03+00:00;5850;
2025-11-02T10:33:00+00:00;5850;
2025-11-02T10:37:43+00:00;5851;
2025-11-02T14:00:21+00:00;5852;
2025-11-02T17:15:29+00:00;5853;
2025-11-02T17:54:01+00:00;5854;
2025-11-02T22:13:34+00:00;5855;
2025-11-03T10:37:05+00:00;5856;
2025-11-03T14:00:21+00:00;5857;
2025-11-03T16:33:33+00:00;5858;
2025-11-03T18:35:52+00:00;5859;
2025-11-03T22:31:16+00:00;5860;
2025-11-04T02:07:19+00:00;5861;
2025-11-04T08:15:25+00:00;5862;
2025-11-04T12:26:10+00:00;5863;
2025-11-04T14:00:21+00:00;5864;
2025-11-04T16:41:52+00:00;5865;
2025-11-04T17:08:33+00:00;5866;
2025-11-04T18:34:47+00:00;5867;
2025-11-04T22:29:06+00:00;5868;
2025-11-05T00:08:01+00:00;5869;
2025-11-05T04:14:45+00:00;5870;
2025-11-05T14:00:21+00:00;5871;
2025-11-05T17:01:19+00:00;5872;
2025-11-05T18:38:45+00:00;5873;
2025-11-05T23:11:24+00:00;5874;
2025-11-06T01:05:18+00:00;5875;
2025-11-06T03:10:48+00:00;5876;
2025-11-06T14:00:21+00:00;5877;
2025-11-06T15:05:35+00:00;5878;
2025-11-06T16:37:46+00:00;5879;
2025-11-06T22:52:26+00:00;5880;
2025-11-07T14:00:21+00:00;5881;
2025-11-07T16:58:50+00:00;5882;
2025-11-07T18:18:21+00:00;5883;
2025-11-08T01:25:53+00:00;5884;
2025-11-08T14:00:21+00:00;5885;
2025-11-08T17:01:33+00:00;5886;
2025-11-08T17:37:29+00:00;5887;
2025-11-08T19:44:31+00:00;5888;
2025-11-09T00:22:56+00:00;5889;
2025-11-09T14:00:21+00:00;5890;
2025-11-09T16:58:49+00:00;5891;
2025-11-09T17:57:32+00:00;5892;
2025-11-09T19:20:33+00:00;5893;
2025-11-09T21:38:19+00:00;5894;
2025-11-10T08:08:00+00:00;5894;
2025-11-10T11:36:44+00:00;5895;
2025-11-10T14:00:21+00:00;5896;
2025-11-10T16:43:55+00:00;5897;
2025-11-10T17:56:05+00:00;5898;
2025-11-11T04:51:22+00:00;5899;
2025-11-11T07:21:41+00:00;5900;
2025-11-11T14:00:21+00:00;5901;
2025-11-11T17:05:30+00:00;5902;
2025-11-11T17:45:53+00:00;5903;
2025-11-11T20:39:48+00:00;5904;
2025-11-11T21:30:19+00:00;5905;
2025-11-12T03:58:59+00:00;5906;
Wed Nov 12 2025 09:23:10 GMT+0100 (Central European Standard Time);5906;
