timestamp;[Room temp­erature (BT50)][°C][40033];
2025-11-01T07:38:48+00:00;21.7;
2025-11-01T18:29:08+00:00;21.2;
2025-11-02T09:44:02+00:00;21.7;
2025-11-02T10:33:00+00:00;21.7;
2025-11-02T22:15:12+00:00;21.2;
2025-11-03T21:27:13+00:00;21.7;
2025-11-04T02:13:08+00:00;21.2;
2025-11-04T16:07:00+00:00;21.7;
2025-11-05T00:33:58+00:00;21.2;
2025-11-05T08:47:27+00:00;21.7;
2025-11-05T22:26:58+00:00;21.2;
2025-11-06T04:45:29+00:00;21.7;
2025-11-08T15:18:26+00:00;21.2;
2025-11-09T16:07:34+00:00;20.7;
2025-11-09T23:51:01+00:00;21.2;
2025-11-10T08:08:00+00:00;21.3;
2025-11-10T11:00:28+00:00;20.8;
2025-11-10T23:49:31+00:00;20.3;
2025-11-11T03:50:36+00:00;19.8;
2025-11-11T09:23:25+00:00;20.3;
2025-11-11T11:58:18+00:00;20.8;
2025-11-11T20:50:01+00:00;21.3;
2025-11-11T22:33:00+00:00;21.8;
2025-11-12T01:33:35+00:00;21.3;
2025-11-12T04:17:32+00:00;20.8;
Wed Nov 12 2025 09:23:30 GMT+0100 (Central European Standard Time);20.8;
