timestamp;[Exhaust air (AZ30-BT20)][°C][40025];
2025-11-09T23:28:14+00:00;22.5;
2025-11-10T00:11:00+00:00;23.0;
2025-11-10T01:39:56+00:00;22.5;
2025-11-10T03:15:00+00:00;22.0;
2025-11-10T06:08:38+00:00;21.5;
2025-11-10T08:08:00+00:00;21.6;
2025-11-10T09:40:32+00:00;21.1;
2025-11-10T14:06:18+00:00;20.6;
2025-11-10T15:59:32+00:00;21.1;
2025-11-10T17:15:22+00:00;21.6;
2025-11-10T17:32:33+00:00;21.1;
2025-11-10T18:34:21+00:00;21.6;
2025-11-10T19:08:44+00:00;21.1;
2025-11-10T21:05:00+00:00;21.6;
2025-11-10T21:34:18+00:00;22.1;
2025-11-10T22:19:08+00:00;22.6;
2025-11-10T23:20:38+00:00;23.1;
2025-11-10T23:38:30+00:00;22.6;
2025-11-11T00:20:10+00:00;22.1;
2025-11-11T01:14:02+00:00;21.6;
2025-11-11T06:25:08+00:00;21.1;
2025-11-11T08:05:15+00:00;21.6;
2025-11-11T10:36:25+00:00;22.1;
2025-11-11T11:08:27+00:00;22.6;
2025-11-11T11:39:17+00:00;23.1;
2025-11-11T11:52:54+00:00;22.6;
2025-11-11T13:32:40+00:00;23.1;
2025-11-11T15:28:18+00:00;23.6;
2025-11-11T16:11:10+00:00;23.1;
2025-11-11T16:38:29+00:00;22.6;
2025-11-11T17:14:11+00:00;22.1;
2025-11-11T18:30:53+00:00;22.6;
2025-11-11T19:29:02+00:00;22.1;
2025-11-12T00:58:57+00:00;21.6;
2025-11-12T03:53:23+00:00;21.1;
2025-11-12T07:02:50+00:00;21.6;
2025-11-12T08:21:53+00:00;22.1;
2025-11-12T09:19:30+00:00;22.6;
2025-11-12T10:31:01+00:00;23.1;
2025-11-12T11:39:51+00:00;22.6;
2025-11-12T12:36:23+00:00;22.1;
2025-11-12T13:49:32+00:00;21.6;
2025-11-12T16:50:03+00:00;22.1;
2025-11-12T16:57:40+00:00;22.6;
2025-11-12T18:08:48+00:00;22.1;
2025-11-12T20:36:29+00:00;21.6;
2025-11-13T07:44:04+00:00;22.1;
2025-11-13T08:13:19+00:00;22.6;
2025-11-13T08:50:22+00:00;23.1;
2025-11-13T09:20:58+00:00;23.3;
2025-11-13T10:37:28+00:00;22.8;
2025-11-13T11:35:52+00:00;22.3;
2025-11-13T12:41:29+00:00;21.8;
2025-11-13T14:20:15+00:00;21.3;
2025-11-13T14:43:07+00:00;21.8;
2025-11-13T14:56:23+00:00;22.3;
2025-11-13T15:07:56+00:00;22.8;
2025-11-13T15:34:44+00:00;23.3;
2025-11-13T17:15:57+00:00;23.8;
2025-11-13T17:38:44+00:00;23.3;
2025-11-13T18:12:50+00:00;22.8;
2025-11-13T18:58:47+00:00;22.3;
2025-11-13T19:46:27+00:00;21.8;
2025-11-13T22:08:44+00:00;21.3;
2025-11-14T05:08:10+00:00;21.8;
2025-11-14T05:40:59+00:00;22.3;
2025-11-14T06:14:48+00:00;22.8;
2025-11-14T06:59:18+00:00;23.3;
2025-11-14T07:42:02+00:00;23.8;
2025-11-14T08:07:52+00:00;23.3;
2025-11-14T08:35:39+00:00;22.8;
2025-11-14T09:22:18+00:00;22.3;
2025-11-14T10:21:54+00:00;21.8;
2025-11-14T11:29:15+00:00;21.3;
2025-11-14T16:32:37+00:00;20.8;
2025-11-14T16:57:50+00:00;21.3;
2025-11-14T17:14:28+00:00;21.8;
2025-11-14T17:33:53+00:00;22.3;
2025-11-14T17:39:37+00:00;22.8;
2025-11-14T17:43:08+00:00;23.3;
2025-11-14T19:31:20+00:00;22.8;
2025-11-14T19:44:23+00:00;22.3;
2025-11-14T20:44:38+00:00;21.8;
2025-11-14T23:28:13+00:00;21.3;
2025-11-15T00:46:02+00:00;20.8;
2025-11-15T06:31:54+00:00;21.3;
2025-11-15T06:34:30+00:00;21.8;
2025-11-15T06:37:54+00:00;22.3;
2025-11-15T06:43:16+00:00;21.8;
2025-11-15T06:47:20+00:00;21.3;
2025-11-15T08:20:25+00:00;20.8;
2025-11-15T08:45:51+00:00;21.3;
2025-11-15T09:04:23+00:00;21.8;
2025-11-15T09:23:09+00:00;22.3;
2025-11-15T09:48:20+00:00;22.8;
2025-11-15T10:39:30+00:00;23.3;
2025-11-15T12:25:58+00:00;22.8;
2025-11-15T13:03:35+00:00;22.3;
2025-11-15T14:00:20+00:00;21.8;
2025-11-15T15:10:31+00:00;21.3;
2025-11-15T18:52:52+00:00;20.8;
2025-11-15T19:28:05+00:00;21.3;
2025-11-15T19:43:13+00:00;20.8;
2025-11-16T06:06:20+00:00;21.3;
2025-11-16T06:13:56+00:00;21.8;
2025-11-16T06:17:29+00:00;22.3;
2025-11-16T06:19:42+00:00;22.8;
2025-11-16T06:28:15+00:00;22.3;
2025-11-16T06:56:34+00:00;21.8;
2025-11-16T10:37:08+00:00;21.3;
2025-11-16T14:01:02+00:00;20.8;
2025-11-16T15:13:28+00:00;21.3;
2025-11-16T16:23:45+00:00;20.8;
2025-11-16T18:32:33+00:00;21.3;
2025-11-16T18:52:27+00:00;21.8;
2025-11-16T19:25:37+00:00;21.3;
2025-11-16T20:11:35+00:00;20.8;
2025-11-16T20:57:17+00:00;21.3;
2025-11-16T21:03:43+00:00;21.8;
2025-11-16T21:43:23+00:00;22.3;
2025-11-16T22:09:14+00:00;22.8;
2025-11-16T23:14:06+00:00;23.3;
2025-11-16T23:54:32+00:00;22.8;
2025-11-17T00:17:20+00:00;22.3;
2025-11-17T01:18:38+00:00;21.8;
2025-11-17T03:26:33+00:00;21.3;
2025-11-17T04:15:49+00:00;21.8;
2025-11-17T04:20:58+00:00;21.3;
2025-11-17T05:33:43+00:00;21.8;
2025-11-17T07:34:13+00:00;22.3;
2025-11-17T07:48:03+00:00;21.8;
2025-11-17T08:11:41+00:00;21.3;
2025-11-17T09:43:18+00:00;20.8;
2025-11-17T10:08:19+00:00;21.3;
2025-11-17T10:21:20+00:00;21.8;
2025-11-17T10:39:05+00:00;22.3;
2025-11-17T11:01:13+00:00;22.8;
2025-11-17T11:49:11+00:00;22.3;
2025-11-17T12:36:01+00:00;21.8;
2025-11-17T13:51:45+00:00;21.3;
2025-11-17T15:29:59+00:00;20.8;
2025-11-17T17:39:53+00:00;21.3;
2025-11-17T18:27:36+00:00;20.8;
2025-11-18T01:06:10+00:00;21.3;
2025-11-18T05:17:51+00:00;21.8;
2025-11-18T05:23:31+00:00;21.3;
2025-11-18T05:57:12+00:00;21.8;
2025-11-18T06:14:25+00:00;22.3;
2025-11-18T06:25:31+00:00;22.8;
2025-11-18T06:47:51+00:00;23.3;
2025-11-18T09:44:51+00:00;23.8;
2025-11-18T10:33:07+00:00;23.3;
2025-11-18T11:08:57+00:00;22.8;
2025-11-18T11:40:06+00:00;23.3;
2025-11-18T15:30:37+00:00;22.8;
2025-11-18T16:11:46+00:00;22.3;
2025-11-18T16:37:34+00:00;21.8;
2025-11-18T18:17:16+00:00;21.3;
2025-11-18T19:27:20+00:00;20.8;
2025-11-18T23:37:45+00:00;21.3;
2025-11-19T02:31:31+00:00;21.8;
2025-11-19T02:49:54+00:00;21.3;
2025-11-19T04:00:10+00:00;21.8;
2025-11-19T04:12:29+00:00;21.3;
2025-11-19T05:24:16+00:00;21.8;
2025-11-19T05:41:39+00:00;21.3;
2025-11-19T06:16:08+00:00;21.8;
2025-11-19T07:54:53+00:00;22.3;
2025-11-19T08:24:52+00:00;22.8;
2025-11-19T10:51:47+00:00;22.3;
