timestamp;[Extract air (AZ30-BT21)][°C][40026];
2025-11-09T23:06:01+00:00;4.6;
2025-11-09T23:07:10+00:00;4.1;
2025-11-09T23:12:53+00:00;2.1;
2025-11-09T23:18:25+00:00;0.1;
2025-11-09T23:24:01+00:00;-1.4;
2025-11-09T23:29:01+00:00;-0.9;
2025-11-09T23:36:41+00:00;-4.4;
2025-11-09T23:42:10+00:00;-5.9;
2025-11-09T23:50:04+00:00;-7.9;
2025-11-09T23:58:06+00:00;-9.4;
2025-11-10T00:09:25+00:00;-10.9;
2025-11-10T00:23:47+00:00;-9.9;
2025-11-10T00:36:11+00:00;-7.4;
2025-11-10T00:42:45+00:00;-6.9;
2025-11-10T00:54:12+00:00;-4.4;
2025-11-10T01:03:55+00:00;-2.9;
2025-11-10T01:10:39+00:00;-0.4;
2025-11-10T01:17:42+00:00;1.1;
2025-11-10T01:24:59+00:00;4.1;
2025-11-10T01:30:23+00:00;5.1;
2025-11-10T02:58:22+00:00;4.6;
2025-11-10T03:24:44+00:00;2.6;
2025-11-10T03:44:17+00:00;1.1;
2025-11-10T04:05:15+00:00;-8.0;
2025-11-10T04:18:00+00:00;-8.0;
2025-11-10T04:18:01+00:00;-0.9;
2025-11-10T04:45:03+00:00;0.1;
2025-11-10T04:51:01+00:00;1.6;
2025-11-10T04:56:16+00:00;3.6;
2025-11-10T05:05:15+00:00;4.6;
2025-11-10T05:30:05+00:00;4.6;
2025-11-10T05:30:06+00:00;14.1;
2025-11-10T05:52:17+00:00;16.6;
2025-11-10T05:58:25+00:00;19.1;
2025-11-10T06:21:08+00:00;20.6;
2025-11-10T08:10:24+00:00;20.6;
2025-11-10T08:10:25+00:00;22.3;
2025-11-10T10:04:26+00:00;20.8;
2025-11-10T12:17:20+00:00;3.8;
2025-11-10T13:01:18+00:00;-6.8;
2025-11-10T13:22:41+00:00;-6.8;
2025-11-10T13:22:42+00:00;12.8;
2025-11-10T13:34:30+00:00;13.3;
2025-11-10T13:52:44+00:00;15.8;
2025-11-10T14:01:07+00:00;11.3;
2025-11-10T14:04:59+00:00;-7.8;
2025-11-10T14:17:30+00:00;-8.3;
2025-11-10T14:26:28+00:00;-8.3;
2025-11-10T14:26:29+00:00;11.6;
2025-11-10T14:34:24+00:00;12.6;
2025-11-10T14:39:28+00:00;15.6;
2025-11-10T14:45:03+00:00;17.1;
2025-11-10T15:07:02+00:00;19.1;
2025-11-10T16:44:18+00:00;19.6;
2025-11-10T16:48:42+00:00;-9.1;
2025-11-10T16:53:29+00:00;-10.6;
2025-11-10T17:09:51+00:00;-8.6;
2025-11-10T17:19:09+00:00;-12.6;
2025-11-10T17:36:30+00:00;-10.6;
2025-11-10T17:44:07+00:00;-9.6;
2025-11-10T17:54:54+00:00;-9.6;
2025-11-10T17:54:55+00:00;11.6;
2025-11-10T18:00:18+00:00;-7.9;
2025-11-10T18:16:16+00:00;-6.4;
2025-11-10T18:24:51+00:00;-6.4;
2025-11-10T18:24:52+00:00;3.8;
2025-11-10T18:30:29+00:00;5.3;
2025-11-10T18:39:39+00:00;-9.7;
2025-11-10T18:54:47+00:00;-12.2;
2025-11-10T19:04:17+00:00;-11.2;
2025-11-10T19:12:14+00:00;-9.7;
2025-11-10T19:18:48+00:00;-7.2;
2025-11-10T19:27:05+00:00;-4.7;
2025-11-10T19:36:22+00:00;-4.7;
2025-11-10T19:36:23+00:00;1.8;
2025-11-10T19:38:21+00:00;2.3;
2025-11-10T19:49:34+00:00;0.3;
2025-11-10T20:04:12+00:00;-1.7;
2025-11-10T20:26:56+00:00;-0.2;
2025-11-10T20:36:01+00:00;1.8;
2025-11-10T20:42:03+00:00;3.8;
2025-11-10T20:55:54+00:00;5.3;
2025-11-10T21:12:11+00:00;5.8;
2025-11-10T21:22:25+00:00;4.3;
2025-11-10T21:33:42+00:00;1.3;
2025-11-10T21:42:18+00:00;-0.2;
2025-11-10T22:20:21+00:00;-0.2;
2025-11-10T22:38:14+00:00;1.8;
2025-11-10T22:57:49+00:00;1.3;
2025-11-10T23:09:05+00:00;2.8;
2025-11-10T23:17:37+00:00;5.8;
2025-11-11T00:26:22+00:00;4.8;
2025-11-11T00:30:58+00:00;3.8;
2025-11-11T00:45:21+00:00;1.3;
2025-11-11T00:59:13+00:00;-0.7;
2025-11-11T01:48:44+00:00;-1.2;
2025-11-11T02:26:16+00:00;-3.7;
2025-11-11T02:55:32+00:00;-4.2;
2025-11-11T03:20:41+00:00;-7.2;
2025-11-11T03:45:14+00:00;-8.7;
2025-11-11T03:56:51+00:00;-8.2;
2025-11-11T04:05:34+00:00;-13.7;
2025-11-11T04:12:32+00:00;-12.2;
2025-11-11T04:19:30+00:00;-8.7;
2025-11-11T04:28:47+00:00;-10.7;
2025-11-11T04:37:33+00:00;-13.2;
2025-11-11T04:42:56+00:00;-13.2;
2025-11-11T04:42:57+00:00;-0.4;
2025-11-11T04:56:39+00:00;-8.6;
2025-11-11T05:07:16+00:00;-11.6;
2025-11-11T05:18:26+00:00;-11.1;
2025-11-11T05:30:11+00:00;-8.6;
2025-11-11T05:33:39+00:00;-7.6;
2025-11-11T05:44:04+00:00;-5.1;
2025-11-11T05:48:14+00:00;-1.1;
2025-11-11T05:53:40+00:00;-1.1;
2025-11-11T05:53:41+00:00;12.3;
2025-11-11T06:03:18+00:00;13.8;
2025-11-11T06:20:43+00:00;15.3;
2025-11-11T06:25:29+00:00;17.3;
2025-11-11T06:39:48+00:00;20.3;
2025-11-11T07:16:27+00:00;20.8;
2025-11-11T07:27:15+00:00;-0.4;
2025-11-11T07:40:18+00:00;0.1;
2025-11-11T07:48:03+00:00;2.1;
2025-11-11T07:56:30+00:00;4.6;
2025-11-11T08:54:25+00:00;4.6;
2025-11-11T09:10:37+00:00;3.1;
2025-11-11T10:17:10+00:00;3.1;
2025-11-11T10:17:11+00:00;4.6;
2025-11-11T10:53:17+00:00;5.6;
2025-11-11T11:56:12+00:00;-5.1;
2025-11-11T12:12:47+00:00;-5.1;
2025-11-11T12:12:48+00:00;13.7;
2025-11-11T12:24:29+00:00;14.2;
2025-11-11T12:45:05+00:00;16.7;
2025-11-11T12:50:46+00:00;18.2;
2025-11-11T13:02:27+00:00;19.7;
2025-11-11T13:30:30+00:00;22.2;
2025-11-11T14:04:04+00:00;-7.1;
2025-11-11T14:21:33+00:00;-7.1;
2025-11-11T14:29:40+00:00;-7.1;
2025-11-11T14:29:41+00:00;14.3;
2025-11-11T14:43:21+00:00;15.8;
2025-11-11T14:46:29+00:00;17.3;
2025-11-11T14:52:33+00:00;19.3;
2025-11-11T15:08:30+00:00;21.3;
2025-11-11T17:06:53+00:00;1.5;
2025-11-11T17:09:11+00:00;-8.1;
2025-11-11T17:27:41+00:00;-8.6;
2025-11-11T17:44:42+00:00;-8.6;
2025-11-11T17:44:43+00:00;16.8;
2025-11-11T17:50:12+00:00;-7.2;
2025-11-11T18:02:06+00:00;-7.2;
2025-11-11T18:11:42+00:00;-7.2;
2025-11-11T18:11:43+00:00;5.0;
2025-11-11T18:23:23+00:00;4.5;
2025-11-11T18:35:46+00:00;-9.3;
2025-11-11T18:37:42+00:00;-9.8;
2025-11-11T18:54:18+00:00;-11.8;
2025-11-11T19:02:34+00:00;-10.8;
2025-11-11T19:14:33+00:00;-8.8;
2025-11-11T19:20:32+00:00;-6.8;
2025-11-11T19:27:21+00:00;-4.8;
2025-11-11T19:33:48+00:00;-0.3;
2025-11-11T19:44:58+00:00;-0.3;
2025-11-11T19:50:12+00:00;-1.3;
2025-11-11T19:57:25+00:00;-3.8;
2025-11-11T20:02:40+00:00;-5.3;
2025-11-11T20:05:33+00:00;-6.3;
2025-11-11T20:14:26+00:00;-8.8;
2025-11-11T20:22:52+00:00;-10.8;
2025-11-11T20:28:24+00:00;-12.3;
2025-11-11T20:38:10+00:00;-12.3;
2025-11-11T20:38:11+00:00;8.8;
2025-11-11T20:42:57+00:00;-9.9;
2025-11-11T20:51:12+00:00;-14.4;
2025-11-11T20:58:32+00:00;-15.4;
2025-11-11T21:20:20+00:00;-14.4;
2025-11-11T21:28:41+00:00;-14.4;
2025-11-11T21:28:42+00:00;11.7;
2025-11-11T21:34:55+00:00;-13.4;
2025-11-11T21:50:34+00:00;-13.9;
2025-11-11T21:57:36+00:00;-11.9;
2025-11-11T22:06:16+00:00;-9.4;
2025-11-11T22:14:03+00:00;-7.9;
2025-11-11T22:20:40+00:00;-6.4;
2025-11-11T22:29:21+00:00;-6.4;
2025-11-11T22:29:22+00:00;11.6;
2025-11-11T22:41:07+00:00;15.1;
2025-11-11T22:46:38+00:00;16.1;
2025-11-11T22:58:38+00:00;19.1;
2025-11-11T23:13:01+00:00;20.6;
2025-11-11T23:30:02+00:00;21.1;
2025-11-12T04:06:39+00:00;-8.9;
2025-11-12T04:20:42+00:00;-8.9;
2025-11-12T04:20:43+00:00;-1.7;
2025-11-12T04:43:17+00:00;-2.2;
2025-11-12T05:02:04+00:00;0.3;
2025-11-12T05:10:43+00:00;3.3;
2025-11-12T06:59:49+00:00;3.3;
2025-11-12T06:59:50+00:00;4.8;
2025-11-12T07:02:35+00:00;4.8;
2025-11-12T07:02:36+00:00;13.0;
2025-11-12T07:08:32+00:00;15.0;
2025-11-12T07:21:01+00:00;17.0;
2025-11-12T07:36:21+00:00;19.5;
2025-11-12T08:19:01+00:00;21.0;
2025-11-12T08:43:46+00:00;6.4;
2025-11-12T09:57:59+00:00;4.9;
2025-11-12T10:33:11+00:00;4.9;
2025-11-12T10:33:12+00:00;14.4;
2025-11-12T10:58:06+00:00;16.4;
2025-11-12T11:12:08+00:00;18.9;
2025-11-12T11:18:46+00:00;20.4;
2025-11-12T12:03:14+00:00;20.9;
2025-11-12T12:10:51+00:00;19.9;
2025-11-12T12:35:13+00:00;5.8;
2025-11-12T13:53:48+00:00;-2.7;
2025-11-12T14:03:14+00:00;-9.7;
2025-11-12T14:12:11+00:00;-9.7;
2025-11-12T14:21:13+00:00;-7.2;
2025-11-12T14:28:48+00:00;-7.2;
2025-11-12T14:28:49+00:00;11.6;
2025-11-12T14:31:01+00:00;14.1;
2025-11-12T14:50:59+00:00;16.1;
2025-11-12T15:04:57+00:00;19.1;
2025-11-12T15:39:48+00:00;20.6;
2025-11-12T16:01:57+00:00;21.1;
2025-11-12T16:46:48+00:00;-8.4;
2025-11-12T17:03:17+00:00;-12.4;
2025-11-12T17:08:27+00:00;-13.4;
2025-11-12T17:22:05+00:00;-11.4;
2025-11-12T17:29:56+00:00;-9.4;
2025-11-12T17:45:29+00:00;-9.4;
2025-11-12T17:45:30+00:00;14.6;
2025-11-12T17:51:47+00:00;-8.0;
2025-11-12T18:02:10+00:00;-9.5;
2025-11-12T18:14:02+00:00;-8.0;
2025-11-12T18:21:11+00:00;-5.5;
2025-11-12T18:27:04+00:00;-5.5;
2025-11-12T18:27:05+00:00;14.0;
2025-11-12T18:39:55+00:00;15.0;
2025-11-12T18:52:33+00:00;18.0;
2025-11-12T19:00:39+00:00;19.5;
2025-11-12T19:25:53+00:00;21.0;
2025-11-12T19:30:46+00:00;-5.1;
2025-11-12T19:38:12+00:00;-10.1;
2025-11-12T19:59:19+00:00;-9.6;
2025-11-12T20:06:09+00:00;-9.6;
2025-11-12T20:06:10+00:00;4.5;
2025-11-12T20:12:54+00:00;6.0;
2025-11-12T20:19:55+00:00;4.5;
2025-11-12T20:26:37+00:00;2.0;
2025-11-12T20:34:10+00:00;0.0;
2025-11-12T20:42:37+00:00;-1.0;
2025-11-12T21:08:00+00:00;0.0;
2025-11-12T21:22:25+00:00;2.5;
2025-11-12T21:30:16+00:00;4.5;
2025-11-12T23:22:52+00:00;5.0;
2025-11-12T23:42:52+00:00;7.6;
2025-11-12T23:49:20+00:00;7.6;
2025-11-12T23:49:21+00:00;14.6;
2025-11-13T00:11:12+00:00;16.1;
2025-11-13T00:19:48+00:00;18.1;
2025-11-13T00:50:45+00:00;20.6;
2025-11-13T01:29:18+00:00;5.7;
2025-11-13T01:43:21+00:00;4.7;
2025-11-13T02:01:13+00:00;2.2;
2025-11-13T02:28:58+00:00;4.2;
2025-11-13T03:09:43+00:00;4.7;
2025-11-13T04:08:03+00:00;-9.5;
2025-11-13T04:23:45+00:00;-7.0;
2025-11-13T04:28:18+00:00;-7.0;
2025-11-13T04:28:19+00:00;-0.2;
2025-11-13T04:37:02+00:00;4.3;
2025-11-13T05:08:43+00:00;4.3;
2025-11-13T05:08:44+00:00;13.5;
2025-11-13T05:32:55+00:00;16.0;
2025-11-13T05:44:42+00:00;18.0;
2025-11-13T05:53:53+00:00;19.5;
2025-11-13T06:10:47+00:00;20.5;
2025-11-13T08:24:12+00:00;20.5;
2025-11-13T08:24:13+00:00;22.5;
2025-11-13T09:23:56+00:00;24.8;
2025-11-13T09:45:50+00:00;-4.6;
2025-11-13T10:10:31+00:00;-4.6;
2025-11-13T10:10:32+00:00;15.0;
2025-11-13T10:17:33+00:00;17.0;
2025-11-13T10:23:19+00:00;19.5;
2025-11-13T10:49:21+00:00;21.5;
2025-11-13T12:32:50+00:00;5.1;
2025-11-13T13:47:18+00:00;5.1;
2025-11-13T13:47:19+00:00;13.8;
2025-11-13T14:05:44+00:00;-9.3;
2025-11-13T14:21:48+00:00;-7.3;
2025-11-13T14:28:32+00:00;-11.3;
2025-11-13T14:44:16+00:00;-11.3;
2025-11-13T14:44:17+00:00;-5.7;
2025-11-13T14:49:49+00:00;-5.7;
2025-11-13T14:49:50+00:00;14.0;
2025-11-13T15:03:54+00:00;15.5;
2025-11-13T15:13:14+00:00;17.0;
2025-11-13T15:25:44+00:00;20.0;
2025-11-13T15:33:26+00:00;21.0;
2025-11-13T15:41:47+00:00;6.1;
2025-11-13T16:25:40+00:00;5.6;
2025-11-13T16:33:42+00:00;-8.5;
2025-11-13T16:57:57+00:00;-8.5;
2025-11-13T16:57:58+00:00;5.5;
2025-11-13T17:16:30+00:00;7.0;
2025-11-13T17:23:40+00:00;-9.3;
2025-11-13T17:43:09+00:00;-7.3;
2025-11-13T17:54:15+00:00;-7.3;
2025-11-13T17:54:16+00:00;14.2;
2025-11-13T18:12:11+00:00;16.2;
2025-11-13T18:18:23+00:00;17.2;
2025-11-13T18:27:46+00:00;19.7;
2025-11-13T18:43:34+00:00;21.2;
2025-11-13T19:19:08+00:00;4.2;
2025-11-13T23:03:01+00:00;3.2;
2025-11-13T23:51:36+00:00;2.2;
2025-11-14T00:06:16+00:00;0.7;
2025-11-14T00:16:41+00:00;-1.8;
2025-11-14T00:20:21+00:00;-0.8;
2025-11-14T00:27:11+00:00;-3.3;
2025-11-14T00:33:49+00:00;-6.3;
2025-11-14T00:37:18+00:00;-7.3;
2025-11-14T00:41:47+00:00;-8.8;
2025-11-14T00:50:33+00:00;-11.3;
2025-11-14T00:56:32+00:00;-12.8;
2025-11-14T01:02:08+00:00;-14.3;
2025-11-14T01:23:35+00:00;-15.3;
2025-11-14T01:38:11+00:00;-15.3;
2025-11-14T01:38:12+00:00;0.7;
2025-11-14T01:45:29+00:00;-13.5;
2025-11-14T01:59:36+00:00;-15.5;
2025-11-14T02:01:46+00:00;-16.0;
2025-11-14T02:26:43+00:00;-13.5;
2025-11-14T02:49:03+00:00;-13.5;
