timestamp;[Hot water top (BT7)][°C][40013];
2025-11-10T00:41:02+00:00;50.8;
2025-11-10T01:40:03+00:00;50.3;
2025-11-10T03:20:23+00:00;49.8;
2025-11-10T04:06:20+00:00;50.3;
2025-11-10T04:09:37+00:00;50.8;
2025-11-10T04:10:59+00:00;51.3;
2025-11-10T04:12:50+00:00;51.8;
2025-11-10T04:14:35+00:00;52.3;
2025-11-10T04:16:53+00:00;52.8;
2025-11-10T04:46:47+00:00;52.3;
2025-11-10T07:02:58+00:00;51.8;
2025-11-10T08:08:00+00:00;51.5;
2025-11-10T08:51:46+00:00;51.0;
2025-11-10T10:01:12+00:00;50.5;
2025-11-10T11:04:06+00:00;50.0;
2025-11-10T12:07:39+00:00;49.5;
2025-11-10T13:09:02+00:00;49.0;
2025-11-10T13:54:17+00:00;48.5;
2025-11-10T14:06:11+00:00;49.0;
2025-11-10T14:10:34+00:00;49.5;
2025-11-10T14:12:54+00:00;50.0;
2025-11-10T14:14:38+00:00;50.5;
2025-11-10T14:16:49+00:00;51.0;
2025-11-10T14:18:16+00:00;51.5;
2025-11-10T14:20:16+00:00;52.0;
2025-11-10T14:21:48+00:00;52.5;
2025-11-10T14:24:00+00:00;53.0;
2025-11-10T14:57:29+00:00;52.5;
2025-11-10T16:25:39+00:00;52.0;
2025-11-10T17:51:54+00:00;51.5;
2025-11-10T17:57:45+00:00;51.0;
2025-11-10T18:06:14+00:00;51.5;
2025-11-10T18:15:18+00:00;52.0;
2025-11-10T18:17:33+00:00;52.5;
2025-11-10T18:19:45+00:00;53.0;
2025-11-10T18:24:39+00:00;52.5;
2025-11-10T19:25:06+00:00;52.0;
2025-11-10T19:29:18+00:00;52.5;
2025-11-10T20:30:42+00:00;52.0;
2025-11-10T22:18:09+00:00;51.5;
2025-11-10T23:53:54+00:00;51.0;
2025-11-11T01:30:36+00:00;50.5;
2025-11-11T03:31:41+00:00;50.0;
2025-11-11T04:07:45+00:00;50.5;
2025-11-11T04:10:29+00:00;51.0;
2025-11-11T04:12:45+00:00;51.5;
2025-11-11T04:14:56+00:00;52.0;
2025-11-11T04:17:22+00:00;52.5;
2025-11-11T05:46:48+00:00;52.0;
2025-11-11T07:58:21+00:00;51.5;
2025-11-11T08:39:12+00:00;51.0;
2025-11-11T09:52:59+00:00;50.5;
2025-11-11T11:08:00+00:00;50.0;
2025-11-11T12:23:01+00:00;49.5;
2025-11-11T13:23:48+00:00;49.0;
2025-11-11T14:00:09+00:00;48.5;
2025-11-11T14:06:44+00:00;49.0;
2025-11-11T14:12:32+00:00;49.5;
2025-11-11T14:15:40+00:00;50.0;
2025-11-11T14:17:20+00:00;50.5;
2025-11-11T14:20:22+00:00;51.0;
2025-11-11T14:22:08+00:00;51.5;
2025-11-11T14:24:03+00:00;52.0;
2025-11-11T14:25:43+00:00;52.5;
2025-11-11T14:27:43+00:00;53.0;
2025-11-11T15:05:25+00:00;52.5;
2025-11-11T16:34:17+00:00;52.0;
2025-11-11T17:29:54+00:00;52.5;
2025-11-11T17:32:31+00:00;53.0;
2025-11-11T17:47:00+00:00;52.5;
2025-11-11T17:58:41+00:00;53.0;
2025-11-11T18:38:52+00:00;52.5;
2025-11-11T19:22:37+00:00;52.0;
2025-11-11T19:30:58+00:00;52.5;
2025-11-11T20:38:15+00:00;52.0;
2025-11-11T22:29:11+00:00;51.5;
2025-11-12T00:14:06+00:00;51.0;
2025-11-12T01:34:36+00:00;50.5;
2025-11-12T02:50:36+00:00;50.0;
2025-11-12T04:02:06+00:00;49.5;
2025-11-12T04:05:52+00:00;50.0;
2025-11-12T04:10:09+00:00;50.5;
2025-11-12T04:13:02+00:00;51.0;
2025-11-12T04:14:20+00:00;51.5;
2025-11-12T04:15:59+00:00;52.0;
2025-11-12T04:18:04+00:00;52.5;
2025-11-12T04:20:03+00:00;53.0;
2025-11-12T04:36:37+00:00;52.5;
2025-11-12T05:56:49+00:00;52.0;
2025-11-12T07:53:46+00:00;51.5;
2025-11-12T08:54:27+00:00;51.0;
2025-11-12T09:59:46+00:00;50.5;
2025-11-12T11:28:41+00:00;50.0;
2025-11-12T12:35:56+00:00;49.5;
2025-11-12T13:38:45+00:00;49.0;
2025-11-12T14:03:54+00:00;49.5;
2025-11-12T14:11:32+00:00;50.0;
2025-11-12T14:14:32+00:00;50.5;
2025-11-12T14:16:38+00:00;51.0;
2025-11-12T14:18:31+00:00;51.5;
2025-11-12T14:20:21+00:00;52.0;
2025-11-12T14:23:15+00:00;52.5;
2025-11-12T15:56:08+00:00;52.0;
2025-11-12T16:56:05+00:00;51.5;
2025-11-12T16:57:57+00:00;51.0;
2025-11-12T16:59:29+00:00;50.5;
2025-11-12T17:01:39+00:00;50.0;
2025-11-12T17:06:52+00:00;49.5;
2025-11-12T17:20:08+00:00;49.0;
2025-11-12T17:42:36+00:00;48.5;
2025-11-12T17:45:38+00:00;48.0;
2025-11-12T17:50:09+00:00;47.5;
2025-11-12T18:03:18+00:00;48.0;
2025-11-12T18:05:34+00:00;48.5;
2025-11-12T18:07:27+00:00;49.0;
2025-11-12T18:09:30+00:00;49.5;
2025-11-12T18:12:01+00:00;50.0;
2025-11-12T18:14:05+00:00;50.5;
2025-11-12T18:16:29+00:00;51.0;
2025-11-12T18:18:20+00:00;51.5;
2025-11-12T18:19:54+00:00;52.0;
2025-11-12T18:21:40+00:00;52.5;
2025-11-12T19:33:54+00:00;52.0;
2025-11-12T19:57:08+00:00;52.5;
2025-11-12T20:05:47+00:00;52.0;
2025-11-12T20:24:06+00:00;51.5;
2025-11-12T20:42:39+00:00;51.0;
2025-11-12T21:18:45+00:00;50.5;
2025-11-12T22:27:01+00:00;50.0;
2025-11-13T00:15:22+00:00;49.5;
2025-11-13T01:31:59+00:00;49.0;
2025-11-13T02:27:48+00:00;48.5;
2025-11-13T03:26:44+00:00;48.0;
2025-11-13T04:05:45+00:00;48.5;
2025-11-13T04:09:36+00:00;49.0;
2025-11-13T04:13:03+00:00;49.5;
2025-11-13T04:14:53+00:00;50.0;
2025-11-13T04:17:23+00:00;50.5;
2025-11-13T04:19:25+00:00;51.0;
2025-11-13T04:21:15+00:00;51.5;
2025-11-13T04:22:43+00:00;52.0;
2025-11-13T04:24:42+00:00;52.5;
2025-11-13T06:13:25+00:00;52.0;
2025-11-13T07:21:36+00:00;51.5;
2025-11-13T08:10:28+00:00;51.0;
2025-11-13T09:20:58+00:00;50.5;
2025-11-13T09:51:55+00:00;50.0;
2025-11-13T10:33:09+00:00;49.5;
2025-11-13T11:06:54+00:00;49.0;
2025-11-13T11:33:16+00:00;48.5;
2025-11-13T12:09:33+00:00;48.0;
2025-11-13T12:50:38+00:00;47.5;
2025-11-13T13:46:27+00:00;47.0;
2025-11-13T14:06:09+00:00;47.5;
2025-11-13T14:09:25+00:00;48.0;
2025-11-13T14:11:34+00:00;48.5;
2025-11-13T14:12:42+00:00;49.0;
2025-11-13T14:15:03+00:00;49.5;
2025-11-13T14:16:37+00:00;50.0;
2025-11-13T14:18:45+00:00;50.5;
2025-11-13T14:20:09+00:00;51.0;
2025-11-13T14:22:05+00:00;51.5;
2025-11-13T14:38:30+00:00;52.0;
2025-11-13T14:43:31+00:00;52.5;
2025-11-13T16:17:00+00:00;52.0;
2025-11-13T16:42:39+00:00;52.5;
2025-11-13T16:46:00+00:00;53.0;
2025-11-13T16:57:07+00:00;52.5;
2025-11-13T17:36:44+00:00;53.0;
2025-11-13T18:41:41+00:00;52.5;
2025-11-13T20:08:34+00:00;52.0;
2025-11-13T21:15:06+00:00;51.5;
2025-11-13T22:17:16+00:00;51.0;
2025-11-13T23:43:38+00:00;50.5;
2025-11-14T01:36:14+00:00;50.0;
2025-11-14T02:50:47+00:00;49.5;
2025-11-14T04:06:20+00:00;50.0;
2025-11-14T04:09:08+00:00;50.5;
2025-11-14T04:11:26+00:00;51.0;
2025-11-14T04:12:57+00:00;51.5;
2025-11-14T04:14:30+00:00;52.0;
2025-11-14T04:16:10+00:00;52.5;
2025-11-14T05:42:40+00:00;52.0;
2025-11-14T06:18:22+00:00;51.5;
2025-11-14T06:30:17+00:00;51.0;
2025-11-14T06:51:00+00:00;50.5;
2025-11-14T07:03:16+00:00;50.0;
2025-11-14T07:14:24+00:00;49.5;
2025-11-14T07:28:26+00:00;49.0;
2025-11-14T07:41:35+00:00;48.5;
2025-11-14T08:02:49+00:00;48.0;
2025-11-14T08:31:18+00:00;47.5;
2025-11-14T09:09:17+00:00;47.0;
2025-11-14T10:00:29+00:00;46.5;
2025-11-14T11:06:13+00:00;46.0;
2025-11-14T12:17:37+00:00;45.5;
2025-11-14T12:53:32+00:00;45.0;
