timestamp;[Fram­led­ning (BT2)][°C][40008];
2025-11-24T23:01:54+00:00;42.1;
2025-11-24T23:03:06+00:00;41.6;
2025-11-24T23:08:53+00:00;43.6;
2025-11-24T23:10:14+00:00;44.1;
2025-11-24T23:12:00+00:00;43.1;
2025-11-24T23:12:51+00:00;41.6;
2025-11-24T23:17:05+00:00;33.3;
2025-11-24T23:18:41+00:00;32.8;
2025-11-24T23:22:12+00:00;35.6;
2025-11-24T23:23:45+00:00;39.2;
2025-11-24T23:25:19+00:00;38.2;
2025-11-24T23:27:14+00:00;37.7;
2025-11-24T23:29:43+00:00;38.2;
2025-11-24T23:36:33+00:00;38.7;
2025-11-24T23:47:46+00:00;39.2;
2025-11-25T00:17:14+00:00;39.7;
2025-11-25T00:36:11+00:00;33.7;
2025-11-25T00:37:50+00:00;33.2;
2025-11-25T00:41:34+00:00;33.2;
2025-11-25T00:41:35+00:00;39.4;
2025-11-25T00:42:22+00:00;38.9;
2025-11-25T00:44:01+00:00;38.4;
2025-11-25T00:56:54+00:00;38.9;
2025-11-25T00:58:23+00:00;39.4;
2025-11-25T01:09:29+00:00;39.9;
2025-11-25T01:20:32+00:00;40.4;
2025-11-25T01:30:18+00:00;40.9;
2025-11-25T01:37:36+00:00;41.4;
2025-11-25T01:38:02+00:00;41.9;
2025-11-25T01:39:50+00:00;42.4;
2025-11-25T01:48:49+00:00;42.9;
2025-11-25T02:03:31+00:00;40.4;
2025-11-25T02:04:29+00:00;37.9;
2025-11-25T02:06:10+00:00;37.4;
2025-11-25T02:08:34+00:00;36.9;
2025-11-25T02:11:26+00:00;36.9;
2025-11-25T02:11:27+00:00;43.2;
2025-11-25T02:12:54+00:00;42.7;
2025-11-25T02:15:54+00:00;42.2;
2025-11-25T02:21:20+00:00;42.7;
2025-11-25T02:25:21+00:00;43.2;
2025-11-25T02:26:46+00:00;43.7;
2025-11-25T02:37:54+00:00;44.2;
2025-11-25T02:48:40+00:00;44.7;
2025-11-25T03:03:47+00:00;45.2;
2025-11-25T03:27:20+00:00;39.2;
2025-11-25T03:29:25+00:00;38.7;
2025-11-25T03:33:00+00:00;38.7;
2025-11-25T03:33:01+00:00;45.4;
2025-11-25T03:33:54+00:00;44.9;
2025-11-25T03:35:11+00:00;44.4;
2025-11-25T03:48:02+00:00;44.9;
2025-11-25T03:49:26+00:00;45.4;
2025-11-25T04:04:07+00:00;45.4;
2025-11-25T04:04:08+00:00;52.4;
2025-11-25T04:04:40+00:00;52.9;
2025-11-25T04:08:37+00:00;55.4;
2025-11-25T04:11:28+00:00;56.9;
2025-11-25T04:13:53+00:00;58.4;
2025-11-25T04:17:55+00:00;41.1;
2025-11-25T04:20:58+00:00;41.6;
2025-11-25T04:23:08+00:00;42.1;
2025-11-25T04:26:17+00:00;42.6;
2025-11-25T04:28:40+00:00;43.1;
2025-11-25T04:30:16+00:00;43.6;
2025-11-25T04:36:46+00:00;44.1;
2025-11-25T04:43:42+00:00;44.6;
2025-11-25T04:52:57+00:00;39.1;
2025-11-25T04:54:00+00:00;38.6;
2025-11-25T04:57:02+00:00;38.1;
2025-11-25T04:59:17+00:00;38.1;
2025-11-25T04:59:18+00:00;45.1;
2025-11-25T05:01:37+00:00;44.1;
2025-11-25T05:08:19+00:00;44.6;
2025-11-25T05:11:33+00:00;45.1;
2025-11-25T05:14:15+00:00;45.6;
2025-11-25T05:24:12+00:00;45.1;
2025-11-25T05:25:13+00:00;44.6;
2025-11-25T05:49:58+00:00;44.1;
2025-11-25T06:04:35+00:00;43.6;
