timestamp;[Aktuell kom­pressor­frek­vens][Hz][41778];
2025-11-24T23:14:34+00:00;0;
2025-11-24T23:21:42+00:00;0;
2025-11-24T23:21:43+00:00;90;
2025-11-24T23:36:31+00:00;91;
2025-11-24T23:39:55+00:00;88;
2025-11-25T00:33:18+00:00;0;
2025-11-25T00:40:49+00:00;0;
2025-11-25T00:40:50+00:00;88;
2025-11-25T00:57:12+00:00;88;
2025-11-25T00:57:13+00:00;97;
2025-11-25T01:00:28+00:00;86;
2025-11-25T02:02:37+00:00;0;
2025-11-25T02:09:37+00:00;0;
2025-11-25T02:09:38+00:00;86;
2025-11-25T02:28:37+00:00;86;
2025-11-25T02:28:38+00:00;95;
2025-11-25T02:29:41+00:00;91;
2025-11-25T03:24:52+00:00;0;
2025-11-25T03:31:52+00:00;0;
2025-11-25T03:31:53+00:00;91;
2025-11-25T03:48:14+00:00;91;
2025-11-25T03:48:15+00:00;101;
2025-11-25T03:52:28+00:00;94;
2025-11-25T04:00:05+00:00;90;
2025-11-25T04:04:32+00:00;85;
2025-11-25T04:08:32+00:00;79;
2025-11-25T04:12:33+00:00;74;
2025-11-25T04:19:14+00:00;74;
2025-11-25T04:19:15+00:00;84;
2025-11-25T04:21:14+00:00;84;
2025-11-25T04:21:15+00:00;94;
2025-11-25T04:29:15+00:00;99;
2025-11-25T04:33:05+00:00;92;
2025-11-25T04:51:13+00:00;0;
2025-11-25T04:58:12+00:00;0;
2025-11-25T04:58:13+00:00;92;
2025-11-25T05:14:35+00:00;92;
2025-11-25T05:14:36+00:00;102;
2025-11-25T05:19:04+00:00;94;
2025-11-25T06:06:20+00:00;0;
2025-11-25T06:13:29+00:00;0;
2025-11-25T06:13:30+00:00;94;
2025-11-25T06:24:55+00:00;93;
2025-11-25T06:32:31+00:00;90;
2025-11-25T06:59:07+00:00;0;
2025-11-25T09:40:35+00:00;0;
2025-11-25T09:40:36+00:00;56;
2025-11-25T09:45:18+00:00;57;
2025-11-25T09:46:17+00:00;58;
2025-11-25T09:48:18+00:00;59;
2025-11-25T09:50:17+00:00;60;
2025-11-25T09:53:17+00:00;61;
2025-11-25T10:00:18+00:00;60;
2025-11-25T10:03:18+00:00;59;
2025-11-25T10:06:18+00:00;58;
2025-11-25T10:07:18+00:00;58;
2025-11-25T10:10:18+00:00;55;
2025-11-25T10:13:18+00:00;54;
2025-11-25T10:14:18+00:00;52;
2025-11-25T10:15:18+00:00;52;
2025-11-25T10:16:19+00:00;50;
2025-11-25T10:17:18+00:00;49;
2025-11-25T10:18:18+00:00;49;
2025-11-25T10:20:18+00:00;46;
2025-11-25T10:21:18+00:00;45;
2025-11-25T10:23:18+00:00;43;
2025-11-25T10:24:18+00:00;42;
2025-11-25T10:25:18+00:00;42;
2025-11-25T10:26:18+00:00;40;
2025-11-25T10:27:17+00:00;39;
2025-11-25T10:28:17+00:00;38;
2025-11-25T10:30:17+00:00;36;
2025-11-25T10:31:17+00:00;35;
2025-11-25T10:32:17+00:00;35;
2025-11-25T10:34:17+00:00;32;
2025-11-25T10:35:17+00:00;32;
2025-11-25T10:36:18+00:00;30;
2025-11-25T10:37:17+00:00;29;
2025-11-25T10:38:17+00:00;28;
2025-11-25T10:40:38+00:00;25;
2025-11-25T10:41:38+00:00;24;
2025-11-25T10:42:49+00:00;24;
2025-11-25T10:42:50+00:00;35;
2025-11-25T11:00:16+00:00;0;
2025-11-25T13:20:08+00:00;0;
2025-11-25T13:20:09+00:00;22;
2025-11-25T13:24:20+00:00;24;
2025-11-25T13:25:20+00:00;25;
2025-11-25T13:27:21+00:00;26;
2025-11-25T13:28:20+00:00;27;
2025-11-25T13:29:20+00:00;28;
2025-11-25T13:30:31+00:00;30;
2025-11-25T13:32:20+00:00;30;
2025-11-25T13:34:20+00:00;31;
2025-11-25T13:37:21+00:00;32;
2025-11-25T13:40:40+00:00;33;
2025-11-25T13:52:40+00:00;32;
2025-11-25T13:56:52+00:00;31;
2025-11-25T14:00:27+00:00;31;
2025-11-25T14:00:28+00:00;80;
2025-11-25T14:19:55+00:00;75;
2025-11-25T14:23:55+00:00;70;
2025-11-25T14:27:34+00:00;40;
2025-11-25T14:28:29+00:00;30;
2025-11-25T14:34:41+00:00;30;
2025-11-25T14:36:40+00:00;28;
2025-11-25T14:40:01+00:00;27;
2025-11-25T14:42:02+00:00;26;
2025-11-25T14:44:01+00:00;25;
2025-11-25T14:46:01+00:00;24;
2025-11-25T14:47:01+00:00;23;
2025-11-25T14:50:01+00:00;21;
2025-11-25T14:52:02+00:00;20;
2025-11-25T15:33:03+00:00;0;
2025-11-25T16:44:06+00:00;0;
2025-11-25T16:44:07+00:00;80;
2025-11-25T17:37:02+00:00;75;
2025-11-25T17:41:56+00:00;70;
2025-11-25T17:44:06+00:00;20;
2025-11-25T18:00:04+00:00;21;
2025-11-25T18:01:04+00:00;22;
2025-11-25T18:03:10+00:00;24;
2025-11-25T18:05:04+00:00;24;
2025-11-25T18:06:04+00:00;25;
2025-11-25T18:08:04+00:00;26;
2025-11-25T18:10:05+00:00;27;
2025-11-25T18:12:04+00:00;28;
2025-11-25T18:14:06+00:00;29;
2025-11-25T18:17:05+00:00;30;
2025-11-25T18:21:04+00:00;31;
2025-11-25T18:23:04+00:00;32;
2025-11-25T18:25:04+00:00;33;
2025-11-25T18:27:05+00:00;34;
2025-11-25T18:29:04+00:00;35;
Tue Nov 25 2025 19:33:53 GMT+0100 (centraleuropeisk normaltid);35;
