timestamp;[Con­denser (BT12)][°C][40017];
2025-11-23T23:04:54+00:00;32.9;
2025-11-23T23:14:22+00:00;33.4;
2025-11-23T23:20:38+00:00;33.9;
2025-11-23T23:25:54+00:00;33.4;
2025-11-23T23:29:59+00:00;33.9;
2025-11-23T23:34:42+00:00;34.4;
2025-11-23T23:41:41+00:00;34.9;
2025-11-23T23:47:39+00:00;35.4;
2025-11-23T23:55:11+00:00;35.9;
2025-11-23T23:58:24+00:00;36.4;
2025-11-24T00:10:43+00:00;36.9;
2025-11-24T00:19:58+00:00;37.4;
2025-11-24T00:39:05+00:00;33.3;
2025-11-24T00:40:12+00:00;32.8;
2025-11-24T00:41:51+00:00;32.3;
2025-11-24T00:43:06+00:00;31.8;
2025-11-24T00:44:36+00:00;31.3;
2025-11-24T00:47:08+00:00;35.4;
2025-11-24T00:47:22+00:00;35.9;
2025-11-24T00:48:39+00:00;35.4;
2025-11-24T00:56:19+00:00;35.9;
2025-11-24T01:03:40+00:00;36.4;
2025-11-24T01:19:17+00:00;36.9;
2025-11-24T01:26:46+00:00;36.4;
2025-11-24T02:07:31+00:00;35.4;
2025-11-24T02:08:01+00:00;34.9;
2025-11-24T02:46:37+00:00;33.9;
2025-11-24T02:50:39+00:00;34.4;
2025-11-24T02:57:09+00:00;34.9;
2025-11-24T03:01:40+00:00;35.4;
2025-11-24T03:03:15+00:00;34.9;
2025-11-24T03:04:56+00:00;35.4;
2025-11-24T03:07:09+00:00;35.4;
2025-11-24T03:13:51+00:00;35.4;
2025-11-24T03:15:24+00:00;35.9;
2025-11-24T03:16:25+00:00;35.4;
2025-11-24T03:17:41+00:00;35.9;
2025-11-24T03:19:08+00:00;35.4;
2025-11-24T03:20:16+00:00;35.9;
2025-11-24T03:21:55+00:00;33.9;
2025-11-24T03:24:12+00:00;33.4;
2025-11-24T03:27:03+00:00;33.4;
2025-11-24T03:28:12+00:00;34.4;
2025-11-24T03:29:14+00:00;33.9;
2025-11-24T03:30:29+00:00;34.4;
2025-11-24T03:31:57+00:00;33.9;
2025-11-24T03:34:05+00:00;34.4;
2025-11-24T03:36:33+00:00;34.4;
2025-11-24T03:39:04+00:00;34.4;
2025-11-24T03:40:31+00:00;34.9;
2025-11-24T03:41:31+00:00;34.4;
2025-11-24T03:42:53+00:00;34.9;
2025-11-24T03:45:49+00:00;29.9;
2025-11-24T03:48:12+00:00;29.4;
2025-11-24T03:50:18+00:00;28.9;
2025-11-24T03:53:00+00:00;28.4;
2025-11-24T03:56:31+00:00;32.2;
2025-11-24T03:58:26+00:00;32.7;
2025-11-24T04:02:55+00:00;32.7;
2025-11-24T04:02:56+00:00;51.9;
2025-11-24T04:05:06+00:00;53.4;
2025-11-24T04:07:11+00:00;53.9;
2025-11-24T04:09:29+00:00;54.4;
2025-11-24T04:11:00+00:00;54.9;
2025-11-24T04:12:15+00:00;55.4;
2025-11-24T04:14:01+00:00;55.9;
2025-11-24T04:16:17+00:00;56.4;
2025-11-24T04:20:29+00:00;33.0;
2025-11-24T04:21:42+00:00;32.5;
2025-11-24T04:25:35+00:00;33.0;
2025-11-24T04:29:27+00:00;33.5;
2025-11-24T04:31:29+00:00;34.0;
2025-11-24T04:34:34+00:00;34.5;
2025-11-24T04:37:07+00:00;35.0;
2025-11-24T04:40:21+00:00;35.5;
2025-11-24T04:44:21+00:00;36.0;
2025-11-24T04:48:04+00:00;36.5;
2025-11-24T04:52:39+00:00;35.5;
2025-11-24T04:56:33+00:00;36.0;
2025-11-24T04:58:47+00:00;36.5;
2025-11-24T05:00:33+00:00;37.0;
2025-11-24T05:10:56+00:00;37.5;
2025-11-24T05:18:56+00:00;37.5;
2025-11-24T05:19:58+00:00;32.9;
2025-11-24T05:22:03+00:00;32.4;
2025-11-24T05:23:17+00:00;31.9;
2025-11-24T05:24:46+00:00;31.4;
2025-11-24T05:28:55+00:00;36.0;
2025-11-24T05:29:54+00:00;36.5;
2025-11-24T05:31:09+00:00;36.0;
2025-11-24T05:32:28+00:00;36.5;
2025-11-24T05:36:40+00:00;37.0;
2025-11-24T05:40:58+00:00;38.5;
2025-11-24T05:42:59+00:00;38.0;
2025-11-24T05:45:06+00:00;38.5;
2025-11-24T05:46:07+00:00;39.0;
2025-11-24T06:08:57+00:00;38.5;
2025-11-24T06:15:24+00:00;38.0;
2025-11-24T06:22:19+00:00;37.5;
2025-11-24T06:28:12+00:00;37.0;
2025-11-24T06:32:54+00:00;36.5;
2025-11-24T06:43:54+00:00;36.0;
