timestamp;[Exhaust air (AZ30-BT20)][°C][40025];
2025-11-23T23:48:15+00:00;20.8;
2025-11-24T07:08:14+00:00;21.3;
2025-11-24T07:59:01+00:00;21.8;
2025-11-24T08:05:40+00:00;22.3;
2025-11-24T08:16:46+00:00;21.8;
2025-11-24T08:29:28+00:00;21.3;
2025-11-24T09:14:21+00:00;20.8;
2025-11-24T16:57:39+00:00;21.3;
2025-11-24T17:47:58+00:00;21.8;
2025-11-24T19:12:48+00:00;22.3;
2025-11-24T20:53:29+00:00;21.8;
2025-11-24T23:23:55+00:00;21.3;
2025-11-25T02:07:12+00:00;21.8;
2025-11-25T04:56:09+00:00;22.3;
2025-11-25T06:09:32+00:00;22.8;
Tue Nov 25 2025 07:19:25 GMT+0100 (Central European Standard Time);22.8;
