timestamp;[Extract air (AZ30-BT21)][°C][40026];
2025-11-23T23:00:06+00:00;-0.4;
2025-11-23T23:03:47+00:00;-0.9;
2025-11-23T23:05:35+00:00;-1.4;
2025-11-23T23:06:51+00:00;-1.9;
2025-11-23T23:09:19+00:00;-2.4;
2025-11-23T23:11:59+00:00;-1.9;
2025-11-23T23:15:57+00:00;-2.9;
2025-11-23T23:17:10+00:00;-3.4;
2025-11-23T23:19:01+00:00;-3.9;
2025-11-23T23:20:06+00:00;-4.4;
2025-11-23T23:23:33+00:00;-5.9;
2025-11-23T23:25:07+00:00;-6.4;
2025-11-23T23:26:32+00:00;-6.9;
2025-11-23T23:28:40+00:00;-7.4;
2025-11-23T23:30:16+00:00;-7.9;
2025-11-23T23:32:24+00:00;-8.4;
2025-11-23T23:33:44+00:00;-8.9;
2025-11-23T23:35:04+00:00;-9.4;
2025-11-23T23:36:40+00:00;-9.9;
2025-11-23T23:39:12+00:00;-10.4;
2025-11-23T23:41:50+00:00;-10.9;
2025-11-23T23:43:47+00:00;-11.4;
2025-11-23T23:46:51+00:00;-11.9;
2025-11-23T23:48:37+00:00;-12.4;
2025-11-23T23:53:23+00:00;-12.9;
2025-11-23T23:57:21+00:00;-13.4;
2025-11-24T00:15:13+00:00;-12.8;
2025-11-24T00:22:19+00:00;-12.3;
2025-11-24T00:25:33+00:00;-11.8;
2025-11-24T00:33:31+00:00;-11.3;
2025-11-24T00:40:45+00:00;-11.3;
2025-11-24T00:40:46+00:00;-0.5;
2025-11-24T00:47:16+00:00;2.1;
2025-11-24T00:50:15+00:00;-8.8;
2025-11-24T00:52:02+00:00;-9.8;
2025-11-24T00:52:29+00:00;-10.3;
2025-11-24T00:54:19+00:00;-10.8;
2025-11-24T01:06:02+00:00;-11.3;
2025-11-24T01:29:41+00:00;-10.8;
2025-11-24T01:34:56+00:00;-10.3;
2025-11-24T01:39:48+00:00;-9.8;
2025-11-24T01:42:29+00:00;-9.3;
2025-11-24T01:46:09+00:00;-8.8;
2025-11-24T01:49:37+00:00;-8.3;
2025-11-24T01:55:52+00:00;-7.8;
2025-11-24T02:00:24+00:00;-7.3;
2025-11-24T02:25:46+00:00;-7.8;
2025-11-24T02:27:11+00:00;-7.3;
2025-11-24T02:27:52+00:00;-7.8;
2025-11-24T02:31:34+00:00;-7.3;
2025-11-24T02:37:28+00:00;-7.8;
2025-11-24T02:39:45+00:00;-7.8;
2025-11-24T02:49:01+00:00;-8.3;
2025-11-24T02:51:32+00:00;-8.8;
2025-11-24T02:53:26+00:00;-9.3;
2025-11-24T02:55:42+00:00;-9.8;
2025-11-24T02:57:09+00:00;-8.8;
2025-11-24T02:58:25+00:00;-9.8;
2025-11-24T03:02:09+00:00;-9.3;
2025-11-24T03:04:50+00:00;-9.3;
2025-11-24T03:06:07+00:00;-10.3;
2025-11-24T03:07:11+00:00;-9.8;
2025-11-24T03:11:18+00:00;-10.3;
2025-11-24T03:16:32+00:00;-10.8;
2025-11-24T03:21:59+00:00;-10.8;
2025-11-24T03:27:05+00:00;-11.8;
2025-11-24T03:29:29+00:00;-11.8;
2025-11-24T03:32:04+00:00;-12.3;
2025-11-24T03:36:54+00:00;-12.8;
2025-11-24T03:41:49+00:00;-13.8;
2025-11-24T03:47:12+00:00;-13.8;
2025-11-24T03:47:13+00:00;-1.2;
2025-11-24T03:47:43+00:00;-0.7;
2025-11-24T03:50:04+00:00;-0.2;
2025-11-24T03:52:55+00:00;3.8;
2025-11-24T03:57:58+00:00;-3.6;
2025-11-24T03:59:06+00:00;-7.1;
2025-11-24T04:02:47+00:00;-8.6;
2025-11-24T04:04:00+00:00;-9.6;
2025-11-24T04:11:11+00:00;-9.1;
2025-11-24T04:15:19+00:00;-8.6;
2025-11-24T04:16:33+00:00;-8.1;
2025-11-24T04:19:40+00:00;-7.6;
2025-11-24T04:21:11+00:00;-8.6;
2025-11-24T04:23:27+00:00;-9.1;
2025-11-24T04:24:33+00:00;-9.6;
2025-11-24T04:26:12+00:00;-10.1;
2025-11-24T04:27:45+00:00;-10.6;
2025-11-24T04:29:35+00:00;-11.1;
2025-11-24T04:30:41+00:00;-11.6;
2025-11-24T04:32:39+00:00;-12.1;
2025-11-24T04:35:08+00:00;-12.6;
2025-11-24T04:37:32+00:00;-13.1;
2025-11-24T04:41:27+00:00;-13.6;
2025-11-24T04:44:38+00:00;-14.1;
2025-11-24T04:52:39+00:00;-14.6;
2025-11-24T05:00:51+00:00;-15.1;
2025-11-24T05:21:00+00:00;-15.1;
2025-11-24T05:21:01+00:00;-0.6;
2025-11-24T05:23:58+00:00;3.4;
2025-11-24T05:29:02+00:00;-9.7;
2025-11-24T05:31:10+00:00;-13.2;
2025-11-24T05:32:28+00:00;-13.7;
2025-11-24T05:33:28+00:00;-14.2;
2025-11-24T05:36:43+00:00;-14.7;
2025-11-24T05:49:39+00:00;-14.2;
2025-11-24T05:53:29+00:00;-13.7;
2025-11-24T05:59:00+00:00;-13.2;
2025-11-24T06:02:00+00:00;-12.7;
2025-11-24T06:05:56+00:00;-12.2;
2025-11-24T06:08:53+00:00;-11.7;
2025-11-24T06:11:51+00:00;-11.2;
2025-11-24T06:15:40+00:00;-10.7;
2025-11-24T06:17:37+00:00;-10.2;
2025-11-24T06:19:42+00:00;-9.7;
2025-11-24T06:22:45+00:00;-9.2;
2025-11-24T06:25:05+00:00;-8.7;
2025-11-24T06:27:11+00:00;-8.2;
2025-11-24T06:29:22+00:00;-7.7;
2025-11-24T06:33:09+00:00;-7.2;
2025-11-24T06:36:45+00:00;-6.7;
2025-11-24T06:41:28+00:00;-6.2;
2025-11-24T06:45:11+00:00;-5.7;
2025-11-24T06:49:01+00:00;-5.2;
2025-11-24T06:54:25+00:00;-4.7;
2025-11-24T06:56:58+00:00;-4.2;
2025-11-24T06:58:41+00:00;-3.7;
2025-11-24T06:59:38+00:00;-3.2;
2025-11-24T07:02:32+00:00;-1.7;
2025-11-24T07:06:02+00:00;-1.2;
2025-11-24T07:26:07+00:00;-0.7;
2025-11-24T07:33:57+00:00;-1.2;
2025-11-24T07:35:25+00:00;-2.2;
2025-11-24T07:39:02+00:00;-3.2;
2025-11-24T07:41:05+00:00;-3.7;
2025-11-24T07:42:16+00:00;-4.2;
2025-11-24T07:44:01+00:00;-4.7;
2025-11-24T07:45:18+00:00;-5.2;
2025-11-24T07:46:40+00:00;-5.7;
2025-11-24T07:48:39+00:00;-6.2;
2025-11-24T07:50:41+00:00;-6.7;
2025-11-24T07:52:24+00:00;-7.2;
2025-11-24T07:55:11+00:00;-7.7;
2025-11-24T07:59:09+00:00;-6.2;
2025-11-24T08:01:03+00:00;-5.7;
2025-11-24T08:04:52+00:00;-7.7;
2025-11-24T08:09:59+00:00;-8.2;
2025-11-24T08:11:40+00:00;-8.7;
2025-11-24T08:14:08+00:00;-9.2;
2025-11-24T08:22:23+00:00;-8.7;
2025-11-24T08:31:26+00:00;-9.2;
2025-11-24T08:36:17+00:00;-9.7;
2025-11-24T08:40:15+00:00;-9.7;
2025-11-24T08:40:16+00:00;-1.0;
2025-11-24T08:40:48+00:00;-0.5;
2025-11-24T08:45:17+00:00;2.5;
2025-11-24T08:49:02+00:00;2.5;
2025-11-24T08:49:03+00:00;9.0;
2025-11-24T08:49:31+00:00;9.5;
2025-11-24T08:50:46+00:00;10.5;
2025-11-24T08:53:02+00:00;12.0;
2025-11-24T08:54:21+00:00;12.5;
2025-11-24T08:56:45+00:00;13.0;
2025-11-24T08:59:15+00:00;13.5;
2025-11-24T09:00:38+00:00;14.0;
2025-11-24T09:01:43+00:00;14.5;
2025-11-24T09:02:53+00:00;15.0;
2025-11-24T09:04:45+00:00;15.5;
2025-11-24T09:09:29+00:00;-4.1;
2025-11-24T09:11:39+00:00;-5.6;
2025-11-24T09:15:23+00:00;-6.1;
2025-11-24T09:34:38+00:00;-6.6;
2025-11-24T09:53:29+00:00;-6.1;
2025-11-24T09:59:56+00:00;-7.6;
2025-11-24T10:03:22+00:00;-9.6;
2025-11-24T10:05:16+00:00;-10.1;
2025-11-24T10:06:51+00:00;-10.6;
2025-11-24T10:08:41+00:00;-11.1;
2025-11-24T10:09:47+00:00;-11.6;
2025-11-24T10:11:30+00:00;-12.1;
2025-11-24T10:13:34+00:00;-12.6;
2025-11-24T10:16:18+00:00;-13.1;
2025-11-24T10:19:27+00:00;-13.6;
2025-11-24T10:21:35+00:00;-14.1;
2025-11-24T10:25:05+00:00;-14.6;
2025-11-24T10:35:53+00:00;-15.1;
2025-11-24T10:50:36+00:00;-15.1;
2025-11-24T10:50:37+00:00;-0.7;
2025-11-24T10:55:48+00:00;-0.7;
2025-11-24T10:55:49+00:00;9.5;
2025-11-24T11:01:19+00:00;-12.4;
2025-11-24T11:02:38+00:00;-12.9;
2025-11-24T11:03:49+00:00;-13.4;
2025-11-24T11:08:49+00:00;-13.9;
2025-11-24T11:21:41+00:00;-13.4;
2025-11-24T11:26:40+00:00;-12.9;
2025-11-24T11:32:21+00:00;-12.4;
2025-11-24T11:34:52+00:00;-11.9;
2025-11-24T11:37:11+00:00;-11.4;
2025-11-24T11:39:57+00:00;-10.9;
2025-11-24T11:42:51+00:00;-10.4;
2025-11-24T11:45:18+00:00;-9.9;
2025-11-24T11:48:15+00:00;-9.4;
2025-11-24T11:49:52+00:00;-8.9;
2025-11-24T11:51:58+00:00;-8.4;
2025-11-24T11:53:54+00:00;-7.9;
2025-11-24T11:55:59+00:00;-7.4;
2025-11-24T11:59:45+00:00;-6.9;
2025-11-24T12:02:13+00:00;-6.4;
2025-11-24T12:04:03+00:00;-5.9;
2025-11-24T12:05:47+00:00;-5.4;
2025-11-24T12:09:16+00:00;-4.9;
2025-11-24T12:13:37+00:00;-4.4;
2025-11-24T12:16:06+00:00;-3.9;
2025-11-24T12:17:25+00:00;-3.4;
2025-11-24T12:19:19+00:00;-2.9;
2025-11-24T12:22:15+00:00;-2.4;
2025-11-24T12:24:55+00:00;-1.9;
2025-11-24T12:54:30+00:00;-2.4;
2025-11-24T13:00:46+00:00;-2.9;
2025-11-24T13:06:07+00:00;-3.4;
2025-11-24T13:12:29+00:00;-3.9;
2025-11-24T13:17:29+00:00;-4.4;
2025-11-24T13:22:37+00:00;-4.9;
2025-11-24T13:26:05+00:00;-5.4;
2025-11-24T13:30:26+00:00;-5.9;
2025-11-24T13:37:13+00:00;-6.4;
2025-11-24T13:42:25+00:00;-6.9;
2025-11-24T13:48:38+00:00;-7.4;
2025-11-24T13:55:27+00:00;-7.9;
2025-11-24T14:02:14+00:00;-11.9;
2025-11-24T14:02:57+00:00;-12.4;
2025-11-24T14:16:19+00:00;-12.4;
2025-11-24T14:16:20+00:00;-0.3;
2025-11-24T14:18:21+00:00;0.2;
2025-11-24T14:22:43+00:00;0.2;
2025-11-24T14:22:44+00:00;5.7;
2025-11-24T14:26:16+00:00;-7.2;
2025-11-24T14:27:28+00:00;-7.7;
2025-11-24T14:28:25+00:00;-8.2;
2025-11-24T14:31:46+00:00;-8.7;
2025-11-24T14:34:06+00:00;-8.2;
2025-11-24T14:35:21+00:00;-7.7;
2025-11-24T14:38:06+00:00;-6.7;
2025-11-24T14:38:52+00:00;-5.2;
2025-11-24T14:40:42+00:00;-5.7;
2025-11-24T14:42:46+00:00;-6.2;
2025-11-24T14:44:19+00:00;-6.7;
2025-11-24T14:45:54+00:00;-7.2;
2025-11-24T14:47:24+00:00;-7.7;
2025-11-24T14:48:50+00:00;-8.2;
2025-11-24T14:51:25+00:00;-8.7;
2025-11-24T14:53:03+00:00;-9.2;
2025-11-24T14:55:43+00:00;-9.7;
2025-11-24T14:57:59+00:00;-10.2;
2025-11-24T15:00:14+00:00;-10.7;
2025-11-24T15:05:29+00:00;-11.2;
2025-11-24T15:26:25+00:00;-11.7;
2025-11-24T15:35:44+00:00;-11.2;
2025-11-24T15:40:51+00:00;-10.7;
2025-11-24T15:50:22+00:00;-10.2;
2025-11-24T15:56:08+00:00;-9.7;
2025-11-24T15:59:41+00:00;-9.2;
2025-11-24T16:03:29+00:00;-8.7;
2025-11-24T16:08:21+00:00;-8.2;
2025-11-24T16:10:08+00:00;-7.7;
2025-11-24T16:15:22+00:00;-7.7;
2025-11-24T16:15:23+00:00;-0.6;
2025-11-24T16:18:13+00:00;-0.1;
2025-11-24T16:23:37+00:00;-1.5;
2025-11-24T16:26:33+00:00;-5.0;
2025-11-24T16:31:28+00:00;-4.5;
