timestamp;[Heating medium pump speed (GP1)][%][43437];
2025-11-23T23:06:19+00:00;32;
2025-11-23T23:09:13+00:00;34;
2025-11-23T23:10:37+00:00;36;
2025-11-23T23:13:07+00:00;38;
2025-11-23T23:15:55+00:00;40;
2025-11-23T23:17:19+00:00;42;
2025-11-23T23:18:31+00:00;44;
2025-11-23T23:21:07+00:00;46;
2025-11-23T23:24:31+00:00;48;
2025-11-23T23:28:19+00:00;50;
2025-11-23T23:31:13+00:00;52;
2025-11-23T23:34:37+00:00;54;
2025-11-23T23:37:55+00:00;56;
2025-11-23T23:40:13+00:00;58;
2025-11-23T23:42:25+00:00;60;
2025-11-23T23:47:48+00:00;62;
2025-11-23T23:50:00+00:00;64;
2025-11-24T00:00:46+00:00;66;
2025-11-24T00:38:11+00:00;50;
2025-11-24T00:46:08+00:00;50;
2025-11-24T00:46:09+00:00;70;
2025-11-24T01:18:58+00:00;68;
2025-11-24T01:20:52+00:00;66;
2025-11-24T01:25:58+00:00;64;
2025-11-24T01:31:10+00:00;62;
2025-11-24T01:34:22+00:00;60;
2025-11-24T01:40:22+00:00;58;
2025-11-24T01:41:58+00:00;56;
2025-11-24T01:46:57+00:00;54;
2025-11-24T01:51:03+00:00;52;
2025-11-24T01:55:36+00:00;50;
2025-11-24T01:59:30+00:00;48;
2025-11-24T02:09:49+00:00;46;
2025-11-24T02:25:55+00:00;44;
2025-11-24T02:55:45+00:00;42;
2025-11-24T03:03:40+00:00;42;
2025-11-24T03:16:39+00:00;40;
2025-11-24T03:20:57+00:00;42;
2025-11-24T03:22:09+00:00;40;
2025-11-24T03:24:57+00:00;38;
2025-11-24T03:25:57+00:00;40;
2025-11-24T03:34:27+00:00;40;
2025-11-24T03:35:39+00:00;42;
2025-11-24T03:39:21+00:00;42;
2025-11-24T03:40:39+00:00;44;
2025-11-24T03:44:29+00:00;44;
2025-11-24T03:44:30+00:00;50;
2025-11-24T03:55:28+00:00;50;
2025-11-24T03:55:29+00:00;70;
2025-11-24T04:00:00+00:00;70;
2025-11-24T04:03:00+00:00;50;
2025-11-24T04:04:00+00:00;48;
2025-11-24T04:08:05+00:00;48;
2025-11-24T04:08:06+00:00;66;
2025-11-24T04:08:24+00:00;69;
2025-11-24T04:20:52+00:00;67;
2025-11-24T04:39:10+00:00;69;
2025-11-24T05:18:36+00:00;50;
2025-11-24T05:26:22+00:00;50;
2025-11-24T05:26:23+00:00;70;
2025-11-24T05:40:54+00:00;59;
2025-11-24T05:43:29+00:00;59;
2025-11-24T05:43:30+00:00;69;
2025-11-24T05:44:36+00:00;55;
2025-11-24T06:32:57+00:00;53;
2025-11-24T06:35:08+00:00;51;
2025-11-24T06:39:02+00:00;49;
2025-11-24T06:44:32+00:00;47;
2025-11-24T06:53:17+00:00;45;
2025-11-24T06:58:55+00:00;45;
2025-11-24T06:58:56+00:00;55;
2025-11-24T07:03:29+00:00;6;
2025-11-24T07:04:41+00:00;4;
2025-11-24T07:11:35+00:00;6;
2025-11-24T07:14:05+00:00;8;
2025-11-24T07:17:23+00:00;10;
2025-11-24T07:19:11+00:00;12;
2025-11-24T07:20:41+00:00;14;
2025-11-24T07:22:17+00:00;16;
2025-11-24T07:23:17+00:00;18;
2025-11-24T07:24:23+00:00;20;
2025-11-24T07:29:15+00:00;20;
2025-11-24T07:29:16+00:00;38;
2025-11-24T07:31:39+00:00;38;
2025-11-24T07:31:40+00:00;55;
2025-11-24T07:34:25+00:00;45;
2025-11-24T07:43:25+00:00;47;
2025-11-24T07:46:31+00:00;49;
2025-11-24T07:49:25+00:00;51;
2025-11-24T07:54:28+00:00;53;
2025-11-24T07:57:28+00:00;55;
2025-11-24T08:05:13+00:00;3;
2025-11-24T08:37:51+00:00;3;
2025-11-24T08:37:52+00:00;30;
2025-11-24T08:48:32+00:00;30;
2025-11-24T08:48:33+00:00;55;
2025-11-24T09:09:56+00:00;26;
2025-11-24T09:11:44+00:00;11;
2025-11-24T09:14:02+00:00;9;
2025-11-24T09:18:20+00:00;11;
2025-11-24T09:20:26+00:00;13;
2025-11-24T09:23:44+00:00;15;
2025-11-24T09:26:20+00:00;17;
2025-11-24T09:34:26+00:00;19;
2025-11-24T09:35:50+00:00;21;
2025-11-24T09:37:02+00:00;23;
2025-11-24T09:39:55+00:00;23;
2025-11-24T09:39:56+00:00;29;
2025-11-24T09:44:55+00:00;29;
2025-11-24T09:44:56+00:00;47;
2025-11-24T09:46:25+00:00;47;
2025-11-24T09:46:26+00:00;55;
2025-11-24T10:47:50+00:00;30;
2025-11-24T10:55:53+00:00;30;
2025-11-24T10:55:54+00:00;55;
2025-11-24T14:02:47+00:00;39;
2025-11-24T14:03:47+00:00;35;
2025-11-24T14:06:47+00:00;37;
2025-11-24T14:07:53+00:00;39;
2025-11-24T14:12:38+00:00;30;
2025-11-24T14:22:17+00:00;30;
2025-11-24T14:22:18+00:00;55;
2025-11-24T16:13:42+00:00;30;
2025-11-24T16:21:38+00:00;30;
2025-11-24T16:21:39+00:00;55;
2025-11-24T16:33:22+00:00;53;
2025-11-24T16:33:58+00:00;51;
2025-11-24T16:35:04+00:00;49;
2025-11-24T16:36:46+00:00;47;
