timestamp;[Hot water char­ging (BT6)][°C][40014];
2025-11-23T23:24:54+00:00;48.7;
2025-11-24T00:03:57+00:00;48.2;
2025-11-24T01:01:47+00:00;47.7;
2025-11-24T02:15:13+00:00;47.2;
2025-11-24T03:40:21+00:00;46.7;
2025-11-24T04:05:54+00:00;47.2;
2025-11-24T04:07:03+00:00;47.7;
2025-11-24T04:08:10+00:00;48.2;
2025-11-24T04:09:29+00:00;48.7;
2025-11-24T04:10:47+00:00;49.2;
2025-11-24T04:12:39+00:00;49.7;
2025-11-24T04:14:47+00:00;50.2;
2025-11-24T04:16:46+00:00;50.7;
2025-11-24T04:18:49+00:00;51.2;
2025-11-24T04:20:42+00:00;51.7;
2025-11-24T05:29:07+00:00;51.2;
2025-11-24T05:45:00+00:00;50.7;
2025-11-24T05:54:41+00:00;50.2;
2025-11-24T06:11:52+00:00;49.7;
2025-11-24T06:26:34+00:00;49.2;
2025-11-24T06:27:50+00:00;48.7;
2025-11-24T06:29:52+00:00;48.2;
2025-11-24T06:37:58+00:00;47.7;
2025-11-24T06:51:32+00:00;47.2;
2025-11-24T06:55:50+00:00;46.7;
2025-11-24T06:59:20+00:00;41.2;
2025-11-24T07:00:35+00:00;40.2;
2025-11-24T07:07:07+00:00;40.7;
2025-11-24T07:09:20+00:00;41.2;
2025-11-24T07:11:46+00:00;41.7;
2025-11-24T07:14:08+00:00;42.2;
2025-11-24T07:15:54+00:00;42.7;
2025-11-24T07:17:35+00:00;43.2;
2025-11-24T07:19:22+00:00;43.7;
2025-11-24T07:21:10+00:00;44.2;
2025-11-24T07:22:57+00:00;44.7;
2025-11-24T07:24:49+00:00;45.2;
2025-11-24T07:26:42+00:00;45.7;
2025-11-24T07:28:39+00:00;46.2;
2025-11-24T07:30:38+00:00;46.7;
2025-11-24T07:32:53+00:00;47.2;
2025-11-24T08:00:11+00:00;29.7;
2025-11-24T08:05:14+00:00;17.7;
2025-11-24T08:09:56+00:00;18.2;
2025-11-24T08:12:03+00:00;19.2;
2025-11-24T08:14:45+00:00;20.7;
2025-11-24T08:20:05+00:00;23.7;
2025-11-24T08:24:33+00:00;26.2;
2025-11-24T08:30:21+00:00;29.2;
2025-11-24T08:31:32+00:00;29.7;
2025-11-24T08:32:32+00:00;30.2;
2025-11-24T08:33:32+00:00;30.7;
2025-11-24T08:34:34+00:00;31.2;
2025-11-24T08:35:41+00:00;31.7;
2025-11-24T08:36:48+00:00;32.2;
2025-11-24T08:37:54+00:00;32.7;
2025-11-24T08:39:07+00:00;33.2;
2025-11-24T08:40:08+00:00;33.7;
2025-11-24T08:42:15+00:00;34.2;
2025-11-24T08:52:02+00:00;33.7;
2025-11-24T09:10:42+00:00;34.2;
2025-11-24T09:12:16+00:00;34.7;
2025-11-24T09:13:50+00:00;35.2;
2025-11-24T09:15:14+00:00;35.7;
2025-11-24T09:16:55+00:00;36.2;
2025-11-24T09:18:14+00:00;36.7;
2025-11-24T09:19:27+00:00;37.2;
2025-11-24T09:20:43+00:00;37.7;
2025-11-24T09:22:01+00:00;38.2;
2025-11-24T09:23:32+00:00;38.7;
2025-11-24T09:24:48+00:00;39.2;
2025-11-24T09:26:12+00:00;39.7;
2025-11-24T09:27:34+00:00;40.2;
2025-11-24T09:29:19+00:00;40.7;
2025-11-24T09:31:31+00:00;41.2;
2025-11-24T09:33:25+00:00;41.7;
2025-11-24T09:35:50+00:00;42.2;
2025-11-24T09:37:48+00:00;42.7;
2025-11-24T09:39:48+00:00;43.2;
2025-11-24T09:42:01+00:00;43.7;
2025-11-24T09:44:22+00:00;44.2;
2025-11-24T09:46:52+00:00;44.7;
2025-11-24T09:49:47+00:00;45.2;
2025-11-24T09:52:24+00:00;45.7;
2025-11-24T09:54:59+00:00;46.2;
2025-11-24T09:57:32+00:00;46.7;
2025-11-24T09:59:54+00:00;47.2;
2025-11-24T10:07:43+00:00;47.7;
2025-11-24T11:19:39+00:00;47.2;
2025-11-24T12:27:36+00:00;46.7;
2025-11-24T13:18:04+00:00;46.2;
2025-11-24T14:01:33+00:00;45.7;
2025-11-24T14:06:08+00:00;46.2;
2025-11-24T14:07:39+00:00;46.7;
2025-11-24T14:09:31+00:00;47.2;
2025-11-24T14:11:39+00:00;47.7;
2025-11-24T14:13:40+00:00;48.2;
2025-11-24T14:16:41+00:00;48.7;
2025-11-24T14:24:47+00:00;48.2;
2025-11-24T14:28:10+00:00;48.7;
2025-11-24T14:29:39+00:00;49.2;
2025-11-24T14:31:35+00:00;49.7;
2025-11-24T14:33:29+00:00;50.2;
2025-11-24T14:35:35+00:00;50.7;
2025-11-24T14:37:29+00:00;51.2;
2025-11-24T14:39:29+00:00;51.7;
2025-11-24T16:00:51+00:00;51.2;
2025-11-24T16:21:48+00:00;50.7;
2025-11-24T16:29:58+00:00;50.2;
2025-11-24T16:34:05+00:00;49.7;
2025-11-24T16:44:48+00:00;49.2;
2025-11-24T16:59:13+00:00;40.2;
2025-11-24T17:04:04+00:00;25.7;
2025-11-24T17:05:15+00:00;25.2;
2025-11-24T17:06:41+00:00;24.7;
2025-11-24T17:08:49+00:00;25.2;
2025-11-24T17:10:51+00:00;26.2;
2025-11-24T17:13:44+00:00;27.7;
2025-11-24T17:14:32+00:00;28.2;
2025-11-24T17:19:06+00:00;28.7;
2025-11-24T17:23:12+00:00;31.2;
2025-11-24T17:29:15+00:00;22.2;
2025-11-24T17:30:27+00:00;20.2;
2025-11-24T17:33:58+00:00;21.2;
2025-11-24T17:39:19+00:00;25.2;
2025-11-24T17:44:28+00:00;29.2;
2025-11-24T17:48:48+00:00;23.7;
2025-11-24T17:49:47+00:00;22.2;
2025-11-24T17:53:44+00:00;23.7;
2025-11-24T17:58:39+00:00;28.2;
2025-11-24T18:03:30+00:00;32.2;
2025-11-24T18:06:17+00:00;34.2;
2025-11-24T18:08:54+00:00;34.7;
2025-11-24T18:15:09+00:00;35.7;
2025-11-24T18:17:08+00:00;36.7;
2025-11-24T18:18:08+00:00;37.2;
2025-11-24T18:19:09+00:00;37.7;
2025-11-24T18:20:12+00:00;38.2;
2025-11-24T18:21:26+00:00;38.7;
2025-11-24T18:22:26+00:00;39.2;
2025-11-24T18:23:29+00:00;39.7;
2025-11-24T18:24:28+00:00;40.2;
2025-11-24T18:27:24+00:00;41.7;
2025-11-24T18:28:37+00:00;42.2;
2025-11-24T18:29:40+00:00;42.7;
2025-11-24T18:30:44+00:00;43.2;
2025-11-24T18:31:56+00:00;43.7;
2025-11-24T18:33:17+00:00;44.2;
2025-11-24T18:34:48+00:00;44.7;
2025-11-24T18:36:26+00:00;45.2;
2025-11-24T18:38:08+00:00;45.7;
2025-11-24T18:40:07+00:00;46.2;
2025-11-24T18:42:01+00:00;46.7;
2025-11-24T18:44:01+00:00;47.2;
2025-11-24T18:46:17+00:00;47.7;
2025-11-24T18:48:17+00:00;48.2;
2025-11-24T18:50:15+00:00;48.7;
2025-11-24T18:51:55+00:00;49.2;
2025-11-24T18:54:01+00:00;49.7;
2025-11-24T18:55:57+00:00;50.2;
2025-11-24T18:57:51+00:00;50.7;
2025-11-24T19:00:09+00:00;51.2;
2025-11-24T19:03:48+00:00;51.7;
2025-11-24T20:15:11+00:00;51.2;
2025-11-24T21:01:41+00:00;50.7;
2025-11-24T21:48:33+00:00;50.2;
2025-11-24T22:09:44+00:00;49.7;
2025-11-24T22:36:22+00:00;49.2;
2025-11-24T23:08:55+00:00;48.7;
2025-11-24T23:34:30+00:00;48.2;
2025-11-25T00:10:34+00:00;47.7;
2025-11-25T00:59:02+00:00;47.2;
2025-11-25T01:57:23+00:00;46.7;
2025-11-25T03:19:57+00:00;46.2;
2025-11-25T04:03:53+00:00;46.7;
2025-11-25T04:08:32+00:00;49.2;
2025-11-25T04:09:51+00:00;49.7;
2025-11-25T04:11:23+00:00;50.2;
2025-11-25T04:12:55+00:00;50.7;
2025-11-25T04:14:20+00:00;51.2;
2025-11-25T04:15:28+00:00;51.7;
2025-11-25T04:19:12+00:00;52.2;
2025-11-25T05:48:02+00:00;51.7;
2025-11-25T06:09:48+00:00;34.4;
2025-11-25T06:13:31+00:00;22.7;
2025-11-25T06:15:19+00:00;22.2;
Tue Nov 25 2025 07:19:46 GMT+0100 (Central European Standard Time);22.2;
