timestamp;[Hot water top (BT7)][°C][40013];
2025-11-24T00:33:29+00:00;50.5;
2025-11-24T02:04:21+00:00;50.0;
2025-11-24T03:46:50+00:00;49.5;
2025-11-24T04:06:34+00:00;50.0;
2025-11-24T04:09:57+00:00;50.5;
2025-11-24T04:12:01+00:00;51.0;
2025-11-24T04:13:22+00:00;51.5;
2025-11-24T04:15:23+00:00;52.0;
2025-11-24T04:17:49+00:00;52.5;
2025-11-24T06:17:51+00:00;52.0;
2025-11-24T07:04:36+00:00;51.5;
2025-11-24T07:59:41+00:00;51.0;
2025-11-24T08:01:53+00:00;50.5;
2025-11-24T08:03:21+00:00;50.0;
2025-11-24T08:05:08+00:00;49.5;
2025-11-24T08:11:41+00:00;49.0;
2025-11-24T08:25:28+00:00;48.5;
2025-11-24T08:41:38+00:00;48.0;
2025-11-24T08:49:06+00:00;47.5;
2025-11-24T09:00:14+00:00;47.0;
2025-11-24T09:31:37+00:00;46.5;
2025-11-24T09:42:16+00:00;46.0;
2025-11-24T09:49:13+00:00;46.5;
2025-11-24T09:52:33+00:00;47.0;
2025-11-24T09:54:41+00:00;47.5;
2025-11-24T09:56:35+00:00;48.0;
2025-11-24T09:59:59+00:00;48.5;
2025-11-24T10:53:03+00:00;48.0;
2025-11-24T12:48:24+00:00;47.5;
2025-11-24T14:04:55+00:00;48.0;
2025-11-24T14:08:20+00:00;48.5;
2025-11-24T14:10:22+00:00;49.0;
2025-11-24T14:12:44+00:00;49.5;
2025-11-24T14:26:46+00:00;50.0;
2025-11-24T14:28:45+00:00;50.5;
2025-11-24T14:30:37+00:00;51.0;
2025-11-24T14:32:27+00:00;51.5;
2025-11-24T14:34:21+00:00;52.0;
2025-11-24T14:36:46+00:00;52.5;
2025-11-24T14:38:15+00:00;53.0;
2025-11-24T14:53:29+00:00;52.5;
2025-11-24T16:18:45+00:00;52.0;
2025-11-24T17:24:34+00:00;51.5;
2025-11-24T17:27:30+00:00;51.0;
2025-11-24T17:28:58+00:00;50.5;
2025-11-24T17:29:59+00:00;50.0;
2025-11-24T17:31:05+00:00;49.5;
2025-11-24T17:33:03+00:00;49.0;
2025-11-24T17:35:13+00:00;48.5;
2025-11-24T17:40:55+00:00;48.0;
2025-11-24T17:46:57+00:00;47.5;
2025-11-24T17:48:26+00:00;47.0;
2025-11-24T17:49:38+00:00;46.5;
2025-11-24T17:54:49+00:00;46.0;
2025-11-24T18:08:05+00:00;45.5;
2025-11-24T18:13:01+00:00;45.0;
2025-11-24T18:21:10+00:00;45.5;
2025-11-24T18:26:32+00:00;46.0;
2025-11-24T18:31:45+00:00;46.5;
2025-11-24T18:33:47+00:00;47.0;
2025-11-24T18:37:45+00:00;47.5;
2025-11-24T18:40:13+00:00;48.0;
2025-11-24T18:42:01+00:00;48.5;
2025-11-24T18:44:10+00:00;49.0;
2025-11-24T18:47:02+00:00;49.5;
2025-11-24T18:48:55+00:00;50.0;
2025-11-24T18:50:33+00:00;50.5;
2025-11-24T18:53:19+00:00;51.0;
2025-11-24T18:54:47+00:00;51.5;
2025-11-24T18:57:00+00:00;52.0;
2025-11-24T18:58:49+00:00;52.5;
2025-11-24T20:26:52+00:00;52.0;
2025-11-24T22:02:57+00:00;51.5;
2025-11-24T23:19:40+00:00;51.0;
2025-11-25T01:29:24+00:00;50.5;
2025-11-25T03:23:08+00:00;50.0;
2025-11-25T04:06:20+00:00;50.5;
2025-11-25T04:08:27+00:00;51.0;
2025-11-25T04:10:21+00:00;51.5;
2025-11-25T04:11:39+00:00;52.0;
2025-11-25T04:13:35+00:00;52.5;
2025-11-25T04:14:20+00:00;53.0;
2025-11-25T05:47:30+00:00;52.5;
Tue Nov 25 2025 07:19:49 GMT+0100 (Central European Standard Time);52.5;
