timestamp;[Liquid line (BT15)][°C][40019];
2025-11-23T23:01:26+00:00;28.3;
2025-11-23T23:11:48+00:00;28.8;
2025-11-23T23:17:32+00:00;29.3;
2025-11-23T23:23:50+00:00;29.8;
2025-11-23T23:25:20+00:00;29.3;
2025-11-23T23:33:19+00:00;29.8;
2025-11-23T23:41:23+00:00;30.3;
2025-11-23T23:48:20+00:00;30.8;
2025-11-23T23:55:37+00:00;31.3;
2025-11-23T23:59:36+00:00;31.8;
2025-11-24T00:14:44+00:00;32.3;
2025-11-24T00:25:04+00:00;32.8;
2025-11-24T00:42:11+00:00;29.3;
2025-11-24T00:47:15+00:00;31.7;
2025-11-24T00:47:35+00:00;31.2;
2025-11-24T00:51:14+00:00;31.7;
2025-11-24T01:03:21+00:00;32.2;
2025-11-24T01:13:10+00:00;32.7;
2025-11-24T01:26:52+00:00;32.2;
2025-11-24T02:07:33+00:00;31.2;
2025-11-24T02:08:09+00:00;30.7;
2025-11-24T02:46:37+00:00;29.7;
2025-11-24T02:52:26+00:00;30.2;
2025-11-24T02:59:43+00:00;30.7;
2025-11-24T03:03:37+00:00;30.2;
2025-11-24T03:04:39+00:00;30.7;
2025-11-24T03:07:32+00:00;31.2;
2025-11-24T03:17:57+00:00;31.7;
2025-11-24T03:19:10+00:00;31.2;
2025-11-24T03:22:02+00:00;29.7;
2025-11-24T03:25:48+00:00;29.7;
2025-11-24T03:27:23+00:00;29.2;
2025-11-24T03:28:13+00:00;29.7;
2025-11-24T03:33:19+00:00;30.2;
2025-11-24T03:34:28+00:00;29.7;
2025-11-24T03:35:38+00:00;30.2;
2025-11-24T03:37:14+00:00;29.7;
2025-11-24T03:38:02+00:00;30.2;
2025-11-24T03:47:19+00:00;28.2;
2025-11-24T03:51:04+00:00;24.2;
2025-11-24T03:56:52+00:00;28.4;
2025-11-24T03:58:09+00:00;28.9;
2025-11-24T04:02:47+00:00;28.9;
2025-11-24T04:02:48+00:00;49.2;
2025-11-24T04:05:12+00:00;49.7;
2025-11-24T04:06:48+00:00;50.2;
2025-11-24T04:08:02+00:00;50.7;
2025-11-24T04:09:21+00:00;51.2;
2025-11-24T04:10:43+00:00;51.7;
2025-11-24T04:12:20+00:00;52.2;
2025-11-24T04:14:08+00:00;52.7;
2025-11-24T04:15:56+00:00;53.2;
2025-11-24T04:17:44+00:00;53.7;
2025-11-24T04:20:22+00:00;27.9;
2025-11-24T04:24:34+00:00;28.4;
2025-11-24T04:28:10+00:00;28.9;
2025-11-24T04:31:00+00:00;29.4;
2025-11-24T04:34:45+00:00;29.9;
2025-11-24T04:38:12+00:00;30.4;
2025-11-24T04:42:09+00:00;30.9;
2025-11-24T04:46:33+00:00;31.4;
2025-11-24T04:52:39+00:00;30.4;
2025-11-24T04:56:22+00:00;30.9;
2025-11-24T04:58:57+00:00;31.4;
2025-11-24T05:01:04+00:00;31.9;
2025-11-24T05:13:11+00:00;32.4;
2025-11-24T05:18:28+00:00;32.9;
2025-11-24T05:24:00+00:00;26.4;
2025-11-24T05:24:53+00:00;25.4;
2025-11-24T05:27:28+00:00;25.4;
2025-11-24T05:27:29+00:00;31.7;
2025-11-24T05:28:39+00:00;31.2;
2025-11-24T05:29:51+00:00;31.2;
2025-11-24T05:38:26+00:00;31.7;
2025-11-24T05:44:14+00:00;32.2;
2025-11-24T05:50:12+00:00;32.7;
2025-11-24T06:37:45+00:00;32.2;
2025-11-24T06:51:39+00:00;31.7;
2025-11-24T07:00:43+00:00;31.7;
2025-11-24T07:00:44+00:00;36.9;
2025-11-24T07:04:03+00:00;39.4;
2025-11-24T07:07:06+00:00;41.9;
2025-11-24T07:11:26+00:00;42.4;
2025-11-24T07:14:00+00:00;42.9;
2025-11-24T07:16:58+00:00;43.4;
2025-11-24T07:18:37+00:00;43.9;
2025-11-24T07:20:44+00:00;44.4;
2025-11-24T07:22:35+00:00;44.9;
2025-11-24T07:24:17+00:00;45.4;
2025-11-24T07:25:52+00:00;45.9;
2025-11-24T07:27:16+00:00;46.4;
2025-11-24T07:28:45+00:00;46.9;
2025-11-24T07:30:16+00:00;47.4;
2025-11-24T07:34:37+00:00;27.3;
2025-11-24T07:39:58+00:00;27.8;
2025-11-24T07:46:14+00:00;28.3;
2025-11-24T07:52:09+00:00;28.8;
2025-11-24T07:57:21+00:00;29.3;
2025-11-24T08:00:11+00:00;30.8;
2025-11-24T08:01:40+00:00;27.8;
2025-11-24T08:05:12+00:00;29.3;
2025-11-24T08:08:09+00:00;32.8;
2025-11-24T08:10:10+00:00;32.8;
2025-11-24T08:10:27+00:00;32.3;
2025-11-24T08:20:10+00:00;32.8;
2025-11-24T08:22:06+00:00;33.3;
2025-11-24T08:24:31+00:00;33.8;
2025-11-24T08:26:16+00:00;34.3;
2025-11-24T08:28:07+00:00;34.8;
2025-11-24T08:30:13+00:00;34.3;
2025-11-24T08:30:54+00:00;35.3;
2025-11-24T08:33:06+00:00;35.8;
2025-11-24T08:34:22+00:00;35.3;
2025-11-24T08:35:24+00:00;35.8;
2025-11-24T08:35:46+00:00;36.3;
2025-11-24T08:40:11+00:00;25.4;
2025-11-24T08:40:59+00:00;24.4;
2025-11-24T08:43:51+00:00;18.4;
2025-11-24T08:45:26+00:00;18.9;
2025-11-24T08:49:05+00:00;18.9;
2025-11-24T08:49:06+00:00;27.9;
2025-11-24T08:49:33+00:00;28.4;
2025-11-24T08:54:43+00:00;32.9;
2025-11-24T08:57:15+00:00;34.4;
2025-11-24T08:58:15+00:00;34.9;
2025-11-24T08:59:29+00:00;35.4;
2025-11-24T09:01:34+00:00;35.9;
2025-11-24T09:04:18+00:00;36.4;
2025-11-24T09:08:09+00:00;37.0;
2025-11-24T09:09:42+00:00;37.5;
2025-11-24T09:10:35+00:00;38.5;
2025-11-24T09:13:21+00:00;40.5;
2025-11-24T09:16:04+00:00;41.0;
2025-11-24T09:18:40+00:00;41.5;
2025-11-24T09:23:05+00:00;42.0;
2025-11-24T09:25:54+00:00;42.5;
2025-11-24T09:29:36+00:00;41.5;
2025-11-24T09:31:23+00:00;42.0;
2025-11-24T09:32:56+00:00;42.5;
2025-11-24T09:34:21+00:00;43.0;
2025-11-24T09:35:45+00:00;43.5;
2025-11-24T09:37:15+00:00;44.0;
2025-11-24T09:38:45+00:00;44.5;
2025-11-24T09:40:24+00:00;45.0;
2025-11-24T09:41:59+00:00;45.5;
2025-11-24T09:43:36+00:00;46.0;
2025-11-24T09:45:18+00:00;46.5;
2025-11-24T09:47:04+00:00;47.0;
2025-11-24T09:49:32+00:00;47.5;
2025-11-24T09:51:35+00:00;48.0;
2025-11-24T09:53:49+00:00;48.5;
2025-11-24T09:55:57+00:00;49.0;
2025-11-24T09:58:19+00:00;49.5;
2025-11-24T10:00:22+00:00;23.8;
2025-11-24T10:01:30+00:00;23.8;
2025-11-24T10:03:15+00:00;24.3;
2025-11-24T10:05:29+00:00;24.8;
2025-11-24T10:07:58+00:00;25.3;
2025-11-24T10:11:31+00:00;25.8;
2025-11-24T10:14:40+00:00;26.3;
2025-11-24T10:17:43+00:00;26.8;
2025-11-24T10:20:50+00:00;27.3;
2025-11-24T10:24:12+00:00;27.8;
2025-11-24T10:27:42+00:00;28.3;
2025-11-24T10:31:12+00:00;28.8;
2025-11-24T10:35:05+00:00;29.3;
2025-11-24T10:40:11+00:00;29.8;
2025-11-24T10:45:01+00:00;30.3;
2025-11-24T10:49:32+00:00;29.3;
2025-11-24T10:51:09+00:00;28.8;
2025-11-24T10:54:26+00:00;23.3;
2025-11-24T10:56:31+00:00;27.3;
2025-11-24T10:57:12+00:00;29.4;
2025-11-24T10:58:28+00:00;28.9;
2025-11-24T10:59:48+00:00;29.4;
2025-11-24T11:04:34+00:00;29.9;
2025-11-24T11:08:57+00:00;30.4;
2025-11-24T11:13:32+00:00;30.9;
2025-11-24T11:19:06+00:00;31.4;
2025-11-24T11:26:16+00:00;31.9;
2025-11-24T11:48:28+00:00;32.4;
2025-11-24T11:56:43+00:00;31.9;
2025-11-24T12:10:10+00:00;31.4;
2025-11-24T12:20:11+00:00;30.9;
2025-11-24T12:29:33+00:00;30.4;
2025-11-24T12:42:48+00:00;29.9;
2025-11-24T13:49:47+00:00;30.4;
2025-11-24T14:02:05+00:00;30.4;
2025-11-24T14:02:06+00:00;46.9;
2025-11-24T14:02:52+00:00;47.4;
2025-11-24T14:04:49+00:00;47.9;
2025-11-24T14:07:03+00:00;48.4;
2025-11-24T14:08:23+00:00;48.9;
2025-11-24T14:10:00+00:00;49.4;
2025-11-24T14:11:31+00:00;49.9;
2025-11-24T14:17:53+00:00;22.1;
2025-11-24T14:23:00+00:00;22.1;
2025-11-24T14:23:01+00:00;37.8;
2025-11-24T14:25:02+00:00;37.8;
2025-11-24T14:25:03+00:00;50.9;
2025-11-24T14:27:55+00:00;51.4;
2025-11-24T14:30:07+00:00;51.9;
2025-11-24T14:31:56+00:00;52.4;
2025-11-24T14:33:39+00:00;52.9;
2025-11-24T14:35:36+00:00;53.4;
2025-11-24T14:38:00+00:00;28.1;
2025-11-24T14:38:21+00:00;27.1;
2025-11-24T14:39:27+00:00;27.6;
2025-11-24T14:46:20+00:00;28.1;
2025-11-24T14:49:58+00:00;28.6;
2025-11-24T14:53:41+00:00;29.1;
2025-11-24T14:59:01+00:00;29.6;
2025-11-24T15:03:37+00:00;30.1;
2025-11-24T15:07:41+00:00;30.6;
2025-11-24T15:12:42+00:00;31.1;
2025-11-24T15:19:27+00:00;31.6;
2025-11-24T15:22:55+00:00;31.1;
2025-11-24T15:37:23+00:00;31.6;
2025-11-24T15:55:07+00:00;32.1;
2025-11-24T16:11:42+00:00;31.6;
2025-11-24T16:18:18+00:00;27.6;
2025-11-24T16:19:51+00:00;25.6;
2025-11-24T16:21:08+00:00;25.1;
2025-11-24T16:22:49+00:00;30.1;
2025-11-24T16:24:39+00:00;30.1;
2025-11-24T16:53:57+00:00;26.6;
2025-11-24T16:56:48+00:00;24.1;
2025-11-24T16:59:11+00:00;24.1;
2025-11-24T16:59:12+00:00;35.9;
2025-11-24T17:01:53+00:00;30.9;
2025-11-24T17:04:13+00:00;31.9;
2025-11-24T17:09:16+00:00;34.4;
2025-11-24T17:09:24+00:00;33.9;
2025-11-24T17:16:09+00:00;33.4;
2025-11-24T17:17:12+00:00;32.9;
