timestamp;[Number of compressor starts][][43416];
2025-11-24T00:46:29+00:00;6021;
2025-11-24T03:55:49+00:00;6022;
2025-11-24T05:26:43+00:00;6023;
2025-11-24T08:47:53+00:00;6024;
2025-11-24T09:06:56+00:00;6025;
2025-11-24T10:56:14+00:00;6026;
2025-11-24T14:22:38+00:00;6027;
2025-11-24T16:21:59+00:00;6028;
2025-11-24T16:57:47+00:00;6029;
2025-11-24T18:11:06+00:00;6030;
2025-11-24T20:49:46+00:00;6031;
2025-11-24T22:05:30+00:00;6032;
2025-11-24T23:21:15+00:00;6033;
2025-11-25T00:40:01+00:00;6034;
2025-11-25T02:09:12+00:00;6035;
2025-11-25T03:31:24+00:00;6036;
2025-11-25T04:57:44+00:00;6037;
2025-11-25T06:12:49+00:00;6038;
Tue Nov 25 2025 07:19:57 GMT+0100 (Central European Standard Time);6038;
