timestamp;[Suction gas (BT17)][°C][40022];
2025-11-23T23:03:04+00:00;11.7;
2025-11-23T23:05:14+00:00;11.2;
2025-11-23T23:06:32+00:00;10.7;
2025-11-23T23:09:46+00:00;10.2;
2025-11-23T23:13:27+00:00;9.7;
2025-11-23T23:15:00+00:00;9.2;
2025-11-23T23:16:59+00:00;9.7;
2025-11-23T23:18:48+00:00;9.2;
2025-11-23T23:21:08+00:00;9.2;
2025-11-23T23:21:56+00:00;8.2;
2025-11-23T23:24:29+00:00;7.7;
2025-11-23T23:26:39+00:00;7.2;
2025-11-23T23:29:54+00:00;6.7;
2025-11-23T23:32:01+00:00;6.2;
2025-11-23T23:34:30+00:00;5.7;
2025-11-23T23:37:47+00:00;5.2;
2025-11-23T23:39:54+00:00;4.7;
2025-11-23T23:44:18+00:00;4.2;
2025-11-23T23:48:39+00:00;3.7;
2025-11-23T23:55:03+00:00;3.2;
2025-11-24T00:18:51+00:00;3.2;
2025-11-24T00:21:24+00:00;3.7;
2025-11-24T00:33:52+00:00;4.2;
2025-11-24T00:42:15+00:00;4.2;
2025-11-24T00:42:16+00:00;14.2;
2025-11-24T00:47:09+00:00;3.5;
2025-11-24T00:52:07+00:00;4.7;
2025-11-24T00:52:21+00:00;4.2;
2025-11-24T01:41:38+00:00;5.2;
2025-11-24T01:43:20+00:00;5.2;
2025-11-24T01:50:51+00:00;6.2;
2025-11-24T01:52:26+00:00;4.7;
2025-11-24T01:57:21+00:00;6.7;
2025-11-24T02:02:23+00:00;5.7;
2025-11-24T02:07:31+00:00;6.2;
2025-11-24T02:12:17+00:00;7.2;
2025-11-24T02:17:33+00:00;7.2;
2025-11-24T02:22:35+00:00;5.1;
2025-11-24T02:27:38+00:00;5.0;
2025-11-24T02:32:41+00:00;6.5;
2025-11-24T02:37:35+00:00;7.0;
2025-11-24T02:42:36+00:00;7.5;
2025-11-24T02:47:17+00:00;7.0;
2025-11-24T02:51:21+00:00;6.5;
2025-11-24T02:52:12+00:00;6.0;
2025-11-24T02:57:15+00:00;6.0;
2025-11-24T03:02:12+00:00;7.0;
2025-11-24T03:06:46+00:00;7.1;
2025-11-24T03:11:57+00:00;6.8;
2025-11-24T03:17:16+00:00;7.1;
2025-11-24T03:22:25+00:00;6.5;
2025-11-24T03:27:24+00:00;5.7;
2025-11-24T03:32:26+00:00;5.4;
2025-11-24T03:37:28+00:00;5.5;
2025-11-24T03:42:21+00:00;5.1;
2025-11-24T03:47:20+00:00;5.1;
