timestamp;[Supply line (BT2)][°C][40008];
2025-11-23T23:04:15+00:00;32.6;
2025-11-23T23:12:23+00:00;33.1;
2025-11-23T23:18:24+00:00;33.6;
2025-11-23T23:34:01+00:00;34.1;
2025-11-23T23:39:25+00:00;34.6;
2025-11-23T23:46:43+00:00;35.1;
2025-11-23T23:54:40+00:00;35.6;
2025-11-23T23:57:58+00:00;36.1;
2025-11-24T00:09:34+00:00;36.6;
2025-11-24T00:17:55+00:00;37.1;
2025-11-24T00:40:09+00:00;33.1;
2025-11-24T00:41:35+00:00;32.6;
2025-11-24T00:42:51+00:00;32.1;
2025-11-24T00:44:10+00:00;31.6;
2025-11-24T00:45:46+00:00;31.1;
2025-11-24T00:47:16+00:00;32.3;
2025-11-24T00:48:09+00:00;35.3;
2025-11-24T00:57:57+00:00;35.8;
2025-11-24T01:05:25+00:00;36.3;
2025-11-24T01:22:00+00:00;36.8;
2025-11-24T01:27:13+00:00;36.3;
2025-11-24T02:06:03+00:00;35.8;
2025-11-24T02:08:05+00:00;35.3;
2025-11-24T02:10:03+00:00;34.8;
2025-11-24T02:47:18+00:00;33.8;
2025-11-24T02:52:52+00:00;34.3;
2025-11-24T02:58:08+00:00;34.8;
2025-11-24T03:02:32+00:00;35.3;
2025-11-24T03:03:49+00:00;34.8;
2025-11-24T03:07:56+00:00;35.3;
2025-11-24T03:18:37+00:00;35.8;
2025-11-24T03:19:50+00:00;35.3;
2025-11-24T03:22:21+00:00;34.3;
2025-11-24T03:22:46+00:00;33.8;
2025-11-24T03:24:58+00:00;33.3;
2025-11-24T03:26:00+00:00;33.8;
2025-11-24T03:29:53+00:00;33.8;
2025-11-24T03:31:14+00:00;34.3;
2025-11-24T03:42:07+00:00;34.3;
2025-11-24T03:46:19+00:00;30.3;
2025-11-24T03:47:40+00:00;29.8;
2025-11-24T03:49:09+00:00;29.3;
2025-11-24T03:51:39+00:00;28.8;
2025-11-24T03:54:02+00:00;28.3;
2025-11-24T03:57:19+00:00;31.8;
2025-11-24T03:58:39+00:00;32.3;
2025-11-24T04:02:54+00:00;32.3;
2025-11-24T04:02:55+00:00;50.1;
2025-11-24T04:05:51+00:00;52.6;
2025-11-24T04:07:58+00:00;53.1;
2025-11-24T04:10:20+00:00;53.6;
2025-11-24T04:11:36+00:00;54.1;
2025-11-24T04:13:13+00:00;54.6;
2025-11-24T04:14:39+00:00;55.1;
2025-11-24T04:17:12+00:00;55.6;
2025-11-24T04:20:08+00:00;33.0;
2025-11-24T04:22:07+00:00;32.5;
2025-11-24T04:27:07+00:00;33.0;
2025-11-24T04:30:17+00:00;33.5;
2025-11-24T04:32:15+00:00;34.0;
2025-11-24T04:35:26+00:00;34.5;
