timestamp;[Current com­pressor fre­quency][Hz][41778];
2025-11-23T23:01:11+00:00;28;
2025-11-23T23:03:11+00:00;29;
2025-11-23T23:04:11+00:00;30;
2025-11-23T23:06:11+00:00;32;
2025-11-23T23:07:11+00:00;33;
2025-11-23T23:08:12+00:00;34;
2025-11-23T23:10:11+00:00;36;
2025-11-23T23:11:11+00:00;37;
2025-11-23T23:13:11+00:00;39;
2025-11-23T23:14:11+00:00;40;
2025-11-23T23:15:11+00:00;41;
2025-11-23T23:16:12+00:00;42;
2025-11-23T23:17:11+00:00;43;
2025-11-23T23:18:11+00:00;44;
2025-11-23T23:20:11+00:00;45;
2025-11-23T23:21:11+00:00;46;
2025-11-23T23:22:11+00:00;47;
2025-11-23T23:23:11+00:00;48;
2025-11-23T23:24:11+00:00;49;
2025-11-23T23:25:11+00:00;50;
2025-11-23T23:27:11+00:00;51;
2025-11-23T23:28:11+00:00;52;
2025-11-23T23:30:11+00:00;54;
2025-11-23T23:31:11+00:00;55;
2025-11-23T23:32:11+00:00;56;
2025-11-23T23:34:11+00:00;58;
2025-11-23T23:35:11+00:00;59;
2025-11-23T23:37:11+00:00;60;
2025-11-23T23:38:11+00:00;61;
2025-11-23T23:39:11+00:00;62;
2025-11-23T23:41:11+00:00;63;
2025-11-23T23:42:11+00:00;64;
2025-11-23T23:43:11+00:00;65;
2025-11-23T23:45:10+00:00;66;
2025-11-23T23:47:10+00:00;67;
2025-11-23T23:48:10+00:00;68;
2025-11-23T23:51:10+00:00;69;
2025-11-23T23:53:32+00:00;70;
2025-11-23T23:55:31+00:00;71;
2025-11-23T23:59:31+00:00;72;
2025-11-24T00:04:31+00:00;74;
2025-11-24T00:15:31+00:00;72;
2025-11-24T00:20:31+00:00;72;
2025-11-24T00:23:31+00:00;70;
2025-11-24T00:26:31+00:00;69;
2025-11-24T00:28:31+00:00;68;
2025-11-24T00:31:32+00:00;67;
2025-11-24T00:32:31+00:00;66;
2025-11-24T00:34:32+00:00;65;
2025-11-24T00:36:31+00:00;64;
2025-11-24T00:38:18+00:00;0;
2025-11-24T00:46:45+00:00;0;
2025-11-24T00:46:46+00:00;64;
2025-11-24T00:47:31+00:00;65;
2025-11-24T00:51:32+00:00;66;
2025-11-24T00:57:52+00:00;67;
2025-11-24T01:01:53+00:00;66;
2025-11-24T01:09:52+00:00;65;
2025-11-24T01:13:52+00:00;64;
2025-11-24T01:16:52+00:00;63;
2025-11-24T01:19:52+00:00;62;
2025-11-24T01:22:52+00:00;61;
2025-11-24T01:24:53+00:00;60;
2025-11-24T01:27:52+00:00;59;
2025-11-24T01:30:52+00:00;58;
2025-11-24T01:33:52+00:00;57;
2025-11-24T01:35:53+00:00;56;
2025-11-24T01:38:53+00:00;55;
2025-11-24T01:40:52+00:00;54;
2025-11-24T01:42:52+00:00;54;
2025-11-24T01:45:52+00:00;52;
2025-11-24T01:47:51+00:00;51;
2025-11-24T01:49:51+00:00;50;
2025-11-24T01:52:15+00:00;50;
2025-11-24T01:54:12+00:00;48;
2025-11-24T01:57:12+00:00;48;
2025-11-24T01:59:13+00:00;46;
2025-11-24T02:02:13+00:00;46;
2025-11-24T02:04:13+00:00;44;
2025-11-24T02:07:13+00:00;43;
2025-11-24T02:30:14+00:00;42;
2025-11-24T02:47:13+00:00;44;
2025-11-24T02:50:12+00:00;44;
2025-11-24T02:52:33+00:00;45;
2025-11-24T02:56:34+00:00;46;
2025-11-24T03:18:34+00:00;45;
2025-11-24T03:23:33+00:00;46;
2025-11-24T03:25:33+00:00;47;
2025-11-24T03:27:34+00:00;48;
2025-11-24T03:29:33+00:00;50;
2025-11-24T03:31:34+00:00;50;
2025-11-24T03:34:36+00:00;51;
2025-11-24T03:37:34+00:00;52;
2025-11-24T03:39:33+00:00;53;
2025-11-24T03:42:33+00:00;54;
2025-11-24T03:44:36+00:00;0;
2025-11-24T03:56:53+00:00;0;
2025-11-24T03:56:54+00:00;56;
2025-11-24T03:57:54+00:00;57;
2025-11-24T04:00:13+00:00;57;
2025-11-24T04:00:14+00:00;80;
2025-11-24T04:14:31+00:00;76;
2025-11-24T04:18:09+00:00;70;
2025-11-24T04:18:21+00:00;59;
2025-11-24T04:22:55+00:00;60;
2025-11-24T04:23:54+00:00;61;
2025-11-24T04:24:54+00:00;62;
2025-11-24T04:26:54+00:00;64;
2025-11-24T04:27:54+00:00;65;
2025-11-24T04:28:54+00:00;66;
2025-11-24T04:30:54+00:00;68;
2025-11-24T04:31:54+00:00;69;
2025-11-24T04:33:14+00:00;70;
2025-11-24T04:33:54+00:00;71;
2025-11-24T04:34:54+00:00;72;
2025-11-24T04:35:54+00:00;73;
2025-11-24T04:36:54+00:00;74;
2025-11-24T04:37:54+00:00;75;
2025-11-24T04:40:54+00:00;77;
2025-11-24T04:42:55+00:00;78;
2025-11-24T04:43:54+00:00;79;
2025-11-24T04:45:54+00:00;80;
2025-11-24T04:47:54+00:00;81;
2025-11-24T04:51:18+00:00;82;
2025-11-24T04:54:14+00:00;83;
2025-11-24T04:55:14+00:00;84;
2025-11-24T04:57:15+00:00;85;
2025-11-24T04:59:14+00:00;86;
2025-11-24T05:07:16+00:00;87;
2025-11-24T05:12:15+00:00;86;
2025-11-24T05:18:45+00:00;0;
2025-11-24T05:27:14+00:00;0;
2025-11-24T05:27:15+00:00;86;
2025-11-24T05:28:16+00:00;88;
2025-11-24T05:31:16+00:00;88;
2025-11-24T05:35:16+00:00;89;
2025-11-24T05:42:15+00:00;88;
2025-11-24T05:45:16+00:00;87;
2025-11-24T05:47:15+00:00;86;
2025-11-24T05:48:16+00:00;85;
2025-11-24T05:50:35+00:00;84;
2025-11-24T05:51:35+00:00;82;
2025-11-24T05:52:35+00:00;81;
2025-11-24T05:55:35+00:00;79;
2025-11-24T05:56:35+00:00;78;
2025-11-24T05:58:35+00:00;76;
2025-11-24T05:59:35+00:00;75;
2025-11-24T06:00:36+00:00;75;
2025-11-24T06:02:36+00:00;73;
2025-11-24T06:03:36+00:00;72;
2025-11-24T06:05:36+00:00;70;
2025-11-24T06:06:36+00:00;69;
2025-11-24T06:07:36+00:00;68;
2025-11-24T06:08:37+00:00;67;
2025-11-24T06:09:36+00:00;66;
2025-11-24T06:10:36+00:00;65;
2025-11-24T06:12:36+00:00;63;
2025-11-24T06:14:36+00:00;63;
2025-11-24T06:15:36+00:00;61;
2025-11-24T06:16:36+00:00;60;
2025-11-24T06:17:36+00:00;60;
2025-11-24T06:18:37+00:00;58;
2025-11-24T06:20:36+00:00;58;
2025-11-24T06:22:36+00:00;55;
2025-11-24T06:23:36+00:00;54;
2025-11-24T06:26:36+00:00;52;
2025-11-24T06:28:37+00:00;51;
2025-11-24T06:29:36+00:00;50;
2025-11-24T06:31:36+00:00;50;
2025-11-24T06:32:38+00:00;48;
2025-11-24T06:34:35+00:00;47;
2025-11-24T06:36:35+00:00;46;
2025-11-24T06:38:35+00:00;46;
2025-11-24T06:40:35+00:00;44;
2025-11-24T06:43:35+00:00;43;
2025-11-24T06:45:40+00:00;42;
2025-11-24T06:48:35+00:00;42;
2025-11-24T06:49:23+00:00;41;
2025-11-24T06:51:56+00:00;40;
2025-11-24T06:54:56+00:00;40;
2025-11-24T06:58:56+00:00;38;
2025-11-24T07:37:56+00:00;40;
2025-11-24T07:38:56+00:00;41;
2025-11-24T07:39:56+00:00;42;
2025-11-24T07:41:56+00:00;44;
2025-11-24T07:42:56+00:00;45;
2025-11-24T07:43:57+00:00;46;
2025-11-24T07:44:56+00:00;47;
2025-11-24T07:45:56+00:00;48;
2025-11-24T07:47:56+00:00;50;
2025-11-24T07:48:56+00:00;51;
2025-11-24T07:50:20+00:00;52;
2025-11-24T07:52:17+00:00;53;
2025-11-24T07:53:17+00:00;54;
2025-11-24T07:54:17+00:00;55;
2025-11-24T07:56:17+00:00;57;
2025-11-24T08:03:35+00:00;57;
2025-11-24T08:03:36+00:00;65;
2025-11-24T08:13:50+00:00;64;
2025-11-24T08:14:58+00:00;64;
2025-11-24T08:16:07+00:00;62;
2025-11-24T08:17:11+00:00;62;
2025-11-24T08:18:18+00:00;61;
2025-11-24T08:19:25+00:00;59;
2025-11-24T08:21:37+00:00;57;
2025-11-24T08:37:58+00:00;0;
2025-11-24T09:07:06+00:00;0;
2025-11-24T09:07:07+00:00;57;
2025-11-24T10:04:59+00:00;60;
2025-11-24T10:05:59+00:00;60;
2025-11-24T10:06:59+00:00;61;
2025-11-24T10:08:59+00:00;63;
2025-11-24T10:09:59+00:00;64;
2025-11-24T10:11:59+00:00;66;
2025-11-24T10:12:59+00:00;67;
2025-11-24T10:13:59+00:00;68;
2025-11-24T10:14:59+00:00;69;
2025-11-24T10:15:59+00:00;70;
2025-11-24T10:16:59+00:00;71;
2025-11-24T10:18:59+00:00;73;
2025-11-24T10:19:59+00:00;74;
2025-11-24T10:21:59+00:00;76;
2025-11-24T10:22:59+00:00;77;
2025-11-24T10:23:59+00:00;78;
2025-11-24T10:25:00+00:00;79;
2025-11-24T10:25:59+00:00;80;
2025-11-24T10:26:59+00:00;81;
2025-11-24T10:28:59+00:00;82;
2025-11-24T10:31:00+00:00;84;
2025-11-24T10:34:59+00:00;84;
2025-11-24T10:41:59+00:00;83;
2025-11-24T10:45:58+00:00;82;
2025-11-24T10:47:59+00:00;1;
2025-11-24T10:56:30+00:00;1;
2025-11-24T10:56:31+00:00;69;
2025-11-24T10:56:39+00:00;83;
2025-11-24T11:00:20+00:00;84;
2025-11-24T11:06:21+00:00;85;
2025-11-24T11:09:21+00:00;84;
2025-11-24T11:14:19+00:00;84;
2025-11-24T11:16:20+00:00;82;
2025-11-24T11:18:19+00:00;81;
2025-11-24T11:20:19+00:00;80;
2025-11-24T11:23:20+00:00;78;
2025-11-24T11:25:19+00:00;78;
2025-11-24T11:26:20+00:00;76;
2025-11-24T11:27:19+00:00;76;
2025-11-24T11:28:19+00:00;74;
2025-11-24T11:30:19+00:00;73;
2025-11-24T11:31:19+00:00;72;
2025-11-24T11:32:19+00:00;72;
2025-11-24T11:34:19+00:00;69;
2025-11-24T11:35:19+00:00;68;
2025-11-24T11:36:21+00:00;67;
2025-11-24T11:37:19+00:00;66;
2025-11-24T11:38:19+00:00;66;
2025-11-24T11:39:19+00:00;64;
2025-11-24T11:41:19+00:00;62;
2025-11-24T11:42:19+00:00;62;
