timestamp;[Dis­charge (BT14)][°C][40018];
2025-11-23T23:01:55+00:00;61.1;
2025-11-23T23:05:15+00:00;61.6;
2025-11-23T23:07:31+00:00;62.1;
2025-11-23T23:09:23+00:00;62.6;
2025-11-23T23:11:12+00:00;63.1;
2025-11-23T23:12:44+00:00;63.6;
2025-11-23T23:14:28+00:00;64.1;
2025-11-23T23:17:22+00:00;64.6;
2025-11-23T23:18:38+00:00;65.1;
2025-11-23T23:19:59+00:00;65.6;
2025-11-23T23:21:06+00:00;66.1;
2025-11-23T23:22:06+00:00;66.6;
2025-11-23T23:23:20+00:00;67.1;
2025-11-23T23:24:29+00:00;67.6;
2025-11-23T23:25:30+00:00;68.1;
2025-11-23T23:26:49+00:00;68.6;
2025-11-23T23:29:31+00:00;70.1;
2025-11-23T23:30:47+00:00;70.6;
2025-11-23T23:32:40+00:00;71.6;
2025-11-23T23:34:45+00:00;72.6;
2025-11-23T23:35:47+00:00;73.1;
2025-11-23T23:37:01+00:00;73.6;
2025-11-23T23:38:07+00:00;74.1;
2025-11-23T23:39:13+00:00;74.6;
2025-11-23T23:40:16+00:00;75.1;
2025-11-23T23:41:22+00:00;75.6;
2025-11-23T23:42:22+00:00;76.1;
2025-11-23T23:44:24+00:00;77.1;
2025-11-23T23:45:32+00:00;77.6;
2025-11-23T23:46:40+00:00;78.1;
2025-11-23T23:47:42+00:00;78.6;
2025-11-23T23:49:50+00:00;79.6;
2025-11-23T23:51:12+00:00;80.1;
2025-11-23T23:53:02+00:00;80.6;
2025-11-23T23:55:35+00:00;81.6;
2025-11-23T23:57:01+00:00;82.1;
2025-11-23T23:58:28+00:00;82.6;
2025-11-23T23:59:30+00:00;83.1;
2025-11-24T00:01:16+00:00;83.6;
2025-11-24T00:03:03+00:00;84.1;
2025-11-24T00:05:23+00:00;84.6;
2025-11-24T00:07:06+00:00;85.1;
2025-11-24T00:10:06+00:00;85.6;
2025-11-24T00:12:58+00:00;86.1;
2025-11-24T00:30:14+00:00;85.6;
2025-11-24T00:33:24+00:00;85.1;
2025-11-24T00:36:55+00:00;84.6;
2025-11-24T00:42:11+00:00;70.9;
2025-11-24T00:47:16+00:00;74.6;
2025-11-24T00:48:36+00:00;76.6;
2025-11-24T00:50:23+00:00;77.6;
2025-11-24T00:51:39+00:00;78.1;
2025-11-24T00:52:07+00:00;78.6;
2025-11-24T00:53:18+00:00;79.1;
2025-11-24T00:54:30+00:00;79.6;
2025-11-24T00:56:06+00:00;80.1;
2025-11-24T00:58:16+00:00;80.6;
2025-11-24T01:00:28+00:00;81.1;
2025-11-24T01:02:03+00:00;81.6;
2025-11-24T01:06:56+00:00;82.1;
2025-11-24T01:28:12+00:00;81.6;
2025-11-24T01:33:33+00:00;81.1;
2025-11-24T01:39:15+00:00;80.6;
2025-11-24T01:42:22+00:00;80.1;
2025-11-24T01:45:57+00:00;79.6;
2025-11-24T01:49:20+00:00;79.1;
2025-11-24T01:52:32+00:00;78.6;
2025-11-24T01:54:07+00:00;78.1;
2025-11-24T01:56:34+00:00;77.6;
2025-11-24T02:00:09+00:00;77.1;
2025-11-24T02:02:40+00:00;76.6;
2025-11-24T02:05:20+00:00;76.1;
2025-11-24T02:07:54+00:00;75.6;
2025-11-24T02:09:45+00:00;75.1;
2025-11-24T02:12:13+00:00;74.6;
2025-11-24T02:17:30+00:00;74.1;
2025-11-24T02:27:43+00:00;73.6;
2025-11-24T02:46:06+00:00;73.1;
2025-11-24T02:56:41+00:00;73.6;
2025-11-24T02:59:20+00:00;74.1;
2025-11-24T03:01:33+00:00;74.6;
2025-11-24T03:04:53+00:00;75.1;
2025-11-24T03:09:06+00:00;75.6;
2025-11-24T03:12:07+00:00;76.1;
2025-11-24T03:16:54+00:00;76.6;
2025-11-24T03:23:59+00:00;76.1;
2025-11-24T03:30:01+00:00;76.6;
2025-11-24T03:33:03+00:00;77.1;
2025-11-24T03:35:40+00:00;77.6;
2025-11-24T03:38:00+00:00;78.1;
2025-11-24T03:40:14+00:00;78.6;
2025-11-24T03:42:44+00:00;79.1;
2025-11-24T03:47:34+00:00;68.1;
2025-11-24T03:52:48+00:00;61.1;
2025-11-24T03:57:30+00:00;61.1;
2025-11-24T03:57:31+00:00;70.6;
2025-11-24T03:58:24+00:00;71.1;
2025-11-24T04:02:58+00:00;71.1;
2025-11-24T04:02:59+00:00;86.8;
2025-11-24T04:07:51+00:00;86.8;
2025-11-24T04:07:52+00:00;101.3;
2025-11-24T04:13:04+00:00;101.3;
2025-11-24T04:13:05+00:00;108.8;
2025-11-24T04:16:54+00:00;111.3;
2025-11-24T04:23:02+00:00;92.9;
2025-11-24T04:28:10+00:00;83.9;
2025-11-24T04:29:30+00:00;82.9;
2025-11-24T04:30:30+00:00;82.4;
2025-11-24T04:32:33+00:00;81.9;
2025-11-24T04:38:08+00:00;82.4;
2025-11-24T04:39:03+00:00;82.9;
2025-11-24T04:41:18+00:00;83.9;
2025-11-24T04:42:28+00:00;84.4;
2025-11-24T04:43:23+00:00;84.9;
2025-11-24T04:46:27+00:00;86.4;
2025-11-24T04:47:48+00:00;86.9;
2025-11-24T04:49:40+00:00;87.9;
2025-11-24T04:53:47+00:00;88.4;
2025-11-24T04:55:55+00:00;88.9;
2025-11-24T04:57:31+00:00;89.4;
2025-11-24T04:58:48+00:00;89.9;
2025-11-24T04:59:55+00:00;90.4;
2025-11-24T05:00:58+00:00;90.9;
2025-11-24T05:02:10+00:00;91.4;
2025-11-24T05:04:23+00:00;91.9;
2025-11-24T05:08:37+00:00;92.4;
2025-11-24T05:11:50+00:00;92.9;
2025-11-24T05:15:44+00:00;93.4;
2025-11-24T05:23:57+00:00;72.4;
2025-11-24T05:28:52+00:00;72.4;
2025-11-24T05:28:53+00:00;84.5;
2025-11-24T05:33:29+00:00;89.0;
2025-11-24T05:34:07+00:00;89.5;
2025-11-24T05:36:07+00:00;90.5;
2025-11-24T05:38:06+00:00;91.5;
2025-11-24T05:39:14+00:00;92.0;
2025-11-24T05:40:41+00:00;92.5;
2025-11-24T05:42:03+00:00;93.0;
2025-11-24T05:45:02+00:00;93.5;
2025-11-24T05:52:29+00:00;93.0;
