timestamp;[Evap­orator (BT16)][°C][40020];
2025-11-23T23:00:10+00:00;-2.9;
2025-11-23T23:03:58+00:00;-3.4;
2025-11-23T23:05:35+00:00;-3.9;
2025-11-23T23:09:39+00:00;-4.9;
2025-11-23T23:10:53+00:00;-5.4;
2025-11-23T23:12:49+00:00;-5.9;
2025-11-23T23:15:23+00:00;-6.4;
2025-11-23T23:23:19+00:00;-7.9;
2025-11-23T23:24:40+00:00;-8.4;
2025-11-23T23:26:10+00:00;-8.9;
2025-11-23T23:28:35+00:00;-9.4;
2025-11-23T23:30:37+00:00;-9.9;
2025-11-23T23:32:29+00:00;-10.4;
2025-11-23T23:34:14+00:00;-10.9;
2025-11-23T23:35:51+00:00;-11.4;
2025-11-23T23:38:49+00:00;-11.9;
2025-11-23T23:41:00+00:00;-12.4;
2025-11-23T23:44:15+00:00;-12.9;
2025-11-23T23:47:35+00:00;-13.4;
2025-11-23T23:53:14+00:00;-13.9;
2025-11-23T23:56:48+00:00;-14.4;
2025-11-24T00:17:11+00:00;-13.9;
2025-11-24T00:25:30+00:00;-13.4;
2025-11-24T00:32:24+00:00;-12.9;
2025-11-24T00:41:21+00:00;-12.9;
2025-11-24T00:41:22+00:00;-0.7;
2025-11-24T00:42:30+00:00;-0.2;
2025-11-24T00:47:18+00:00;3.5;
2025-11-24T00:49:53+00:00;-11.6;
2025-11-24T00:51:53+00:00;-12.1;
2025-11-24T00:52:30+00:00;-12.6;
2025-11-24T01:26:51+00:00;-12.1;
2025-11-24T01:35:30+00:00;-11.6;
2025-11-24T01:41:52+00:00;-11.1;
2025-11-24T01:47:36+00:00;-10.6;
2025-11-24T01:51:36+00:00;-10.1;
2025-11-24T01:56:06+00:00;-9.6;
2025-11-24T02:02:29+00:00;-9.1;
2025-11-24T02:23:26+00:00;-9.6;
2025-11-24T02:24:33+00:00;-9.1;
2025-11-24T02:25:36+00:00;-9.6;
2025-11-24T02:26:54+00:00;-9.1;
2025-11-24T02:27:50+00:00;-9.6;
2025-11-24T02:31:34+00:00;-9.1;
2025-11-24T02:35:07+00:00;-9.6;
2025-11-24T02:36:12+00:00;-9.1;
2025-11-24T02:37:20+00:00;-9.6;
2025-11-24T02:39:38+00:00;-9.6;
2025-11-24T02:41:53+00:00;-9.6;
2025-11-24T02:49:00+00:00;-10.1;
2025-11-24T02:51:03+00:00;-10.6;
2025-11-24T02:55:39+00:00;-11.6;
2025-11-24T02:57:08+00:00;-10.6;
2025-11-24T02:58:24+00:00;-11.6;
2025-11-24T03:00:49+00:00;-12.1;
2025-11-24T03:02:09+00:00;-11.1;
2025-11-24T03:04:48+00:00;-11.1;
2025-11-24T03:06:05+00:00;-12.1;
2025-11-24T03:07:08+00:00;-11.6;
2025-11-24T03:11:15+00:00;-12.1;
2025-11-24T03:16:23+00:00;-12.6;
2025-11-24T03:19:02+00:00;-12.6;
2025-11-24T03:21:51+00:00;-12.6;
2025-11-24T03:27:05+00:00;-14.1;
2025-11-24T03:32:04+00:00;-14.6;
2025-11-24T03:36:49+00:00;-15.1;
2025-11-24T03:42:30+00:00;-15.6;
2025-11-24T03:47:30+00:00;-15.6;
2025-11-24T03:47:31+00:00;-3.1;
2025-11-24T03:49:06+00:00;-0.6;
2025-11-24T03:57:58+00:00;-6.3;
2025-11-24T03:59:26+00:00;-10.8;
2025-11-24T04:03:02+00:00;-11.3;
2025-11-24T04:03:43+00:00;-11.8;
2025-11-24T04:08:11+00:00;-11.3;
2025-11-24T04:13:13+00:00;-10.8;
2025-11-24T04:15:46+00:00;-10.3;
2025-11-24T04:16:55+00:00;-9.8;
2025-11-24T04:20:01+00:00;-9.8;
2025-11-24T04:21:37+00:00;-10.8;
2025-11-24T04:24:16+00:00;-11.3;
2025-11-24T04:26:04+00:00;-11.8;
2025-11-24T04:27:41+00:00;-12.3;
2025-11-24T04:29:47+00:00;-12.8;
2025-11-24T04:31:50+00:00;-13.3;
2025-11-24T04:34:16+00:00;-13.8;
2025-11-24T04:36:21+00:00;-14.3;
2025-11-24T04:39:51+00:00;-14.8;
2025-11-24T04:44:09+00:00;-15.3;
2025-11-24T04:51:55+00:00;-15.8;
2025-11-24T04:58:13+00:00;-16.3;
2025-11-24T05:18:58+00:00;-16.3;
2025-11-24T05:22:39+00:00;-16.3;
2025-11-24T05:22:40+00:00;-0.5;
2025-11-24T05:28:59+00:00;-12.3;
2025-11-24T05:31:20+00:00;-16.3;
2025-11-24T05:37:45+00:00;-16.8;
2025-11-24T05:44:32+00:00;-16.3;
2025-11-24T05:48:21+00:00;-15.8;
2025-11-24T05:50:55+00:00;-15.3;
2025-11-24T05:56:58+00:00;-14.8;
2025-11-24T06:00:44+00:00;-14.3;
2025-11-24T06:03:29+00:00;-13.8;
2025-11-24T06:06:33+00:00;-13.3;
2025-11-24T06:09:40+00:00;-12.8;
2025-11-24T06:12:53+00:00;-12.3;
2025-11-24T06:16:43+00:00;-11.8;
2025-11-24T06:19:00+00:00;-11.3;
2025-11-24T06:22:12+00:00;-10.8;
2025-11-24T06:24:47+00:00;-10.3;
2025-11-24T06:27:21+00:00;-9.8;
2025-11-24T06:30:00+00:00;-9.3;
2025-11-24T06:34:45+00:00;-8.8;
2025-11-24T06:39:01+00:00;-8.3;
2025-11-24T06:44:56+00:00;-7.8;
2025-11-24T06:48:46+00:00;-7.3;
2025-11-24T06:54:07+00:00;-6.8;
2025-11-24T06:58:02+00:00;-6.3;
2025-11-24T07:00:19+00:00;-5.8;
2025-11-24T07:02:16+00:00;-5.3;
2025-11-24T07:04:15+00:00;-4.8;
2025-11-24T07:07:02+00:00;-4.3;
2025-11-24T07:14:19+00:00;-3.8;
2025-11-24T07:29:26+00:00;-3.3;
2025-11-24T07:32:55+00:00;-4.3;
