timestamp;[Calcu­lated supply climate system 1][°C][43009];
2025-11-23T23:00:54+00:00;33.5;
2025-11-23T23:02:31+00:00;34.5;
2025-11-23T23:04:11+00:00;35.0;
2025-11-24T09:31:32+00:00;34.5;
2025-11-24T09:53:30+00:00;34.0;
2025-11-24T10:21:27+00:00;33.5;
2025-11-24T10:46:35+00:00;33.0;
2025-11-24T10:59:06+00:00;33.5;
2025-11-24T11:00:24+00:00;34.0;
2025-11-24T11:03:39+00:00;34.5;
2025-11-24T11:40:01+00:00;34.0;
2025-11-24T14:47:04+00:00;34.5;
2025-11-24T15:16:39+00:00;35.0;
2025-11-24T16:01:23+00:00;35.5;
2025-11-24T16:18:26+00:00;27.5;
2025-11-24T17:16:32+00:00;29.0;
2025-11-24T17:17:48+00:00;29.5;
2025-11-24T17:20:27+00:00;30.0;
2025-11-24T17:30:07+00:00;30.5;
2025-11-24T17:32:06+00:00;31.0;
2025-11-24T17:44:48+00:00;31.5;
2025-11-24T17:46:44+00:00;32.5;
2025-11-24T17:49:57+00:00;33.0;
2025-11-24T18:10:41+00:00;33.5;
2025-11-24T18:15:49+00:00;34.0;
2025-11-24T18:17:06+00:00;34.5;
2025-11-24T18:20:21+00:00;35.0;
2025-11-24T18:45:10+00:00;35.5;
2025-11-24T18:46:32+00:00;36.0;
2025-11-24T18:48:31+00:00;36.5;
2025-11-24T18:53:52+00:00;37.0;
2025-11-24T19:06:14+00:00;37.5;
2025-11-24T19:15:41+00:00;38.0;
2025-11-24T19:16:50+00:00;38.5;
2025-11-24T19:19:17+00:00;39.0;
2025-11-24T19:49:28+00:00;39.5;
2025-11-24T20:32:08+00:00;40.0;
2025-11-24T20:45:16+00:00;40.5;
2025-11-24T20:48:28+00:00;41.0;
2025-11-24T21:17:11+00:00;40.5;
2025-11-24T21:32:28+00:00;41.0;
2025-11-24T21:45:27+00:00;41.5;
2025-11-24T21:47:26+00:00;42.0;
2025-11-24T22:31:19+00:00;42.5;
2025-11-24T22:38:05+00:00;41.0;
2025-11-24T22:39:14+00:00;40.5;
2025-11-24T22:41:41+00:00;40.0;
2025-11-24T22:56:30+00:00;40.5;
2025-11-24T23:01:12+00:00;41.5;
2025-11-24T23:02:09+00:00;42.0;
2025-11-24T23:03:49+00:00;42.5;
2025-11-24T23:10:30+00:00;43.0;
2025-11-24T23:48:43+00:00;43.5;
2025-11-25T00:35:22+00:00;44.0;
2025-11-25T02:13:09+00:00;43.5;
2025-11-25T03:19:10+00:00;43.0;
2025-11-25T04:39:19+00:00;42.5;
2025-11-25T05:07:19+00:00;42.0;
2025-11-25T05:30:46+00:00;41.5;
2025-11-25T05:33:13+00:00;41.0;
2025-11-25T05:46:48+00:00;39.5;
2025-11-25T05:48:15+00:00;39.0;
2025-11-25T05:53:22+00:00;38.5;
Tue Nov 25 2025 07:18:37 GMT+0100 (Central European Standard Time);38.5;
